 	oggi	io	non	ho	cosa	da	fare	</S>
a46	0.0334762386163	0.398585954741	0.0473453539579	0.0393229549454	0.121215981896	0.0606467100816	0.155867901047	0.14353893132
a27	0.0165236027252	0.417906943824	0.068183369294	0.0271711280285	0.0653875509025	0.0876023169842	0.199334223873	0.117890895018
a8	0.0126502393685	0.344896460384	0.104880450273	0.0207369868889	0.0779802689792	0.103158805982	0.226265816147	0.109431000122
a28	0.0169853720677	0.332133158297	0.107175942058	0.0205646775438	0.0974888793851	0.0983651682421	0.218674507476	0.108612292271
a31	0.0200439609793	0.394090779555	0.0724226126546	0.0321773616177	0.0695676542351	0.0837582522238	0.218356388105	0.109582980746
a24	0.0721607375108	0.328367098552	0.112831406003	0.0306707695111	0.0410855173912	0.0900992144409	0.181669650374	0.143115614884
a31	0.100427100221	0.315326566291	0.112891951272	0.0159475283666	0.0256769149906	0.0829280356468	0.183451429038	0.163350475753
a10	0.126511253776	0.279537807557	0.0929142389014	0.0137645103019	0.0345119625146	0.0791176509684	0.206750686306	0.166891890406
a20	0.170195746166	0.144552145627	0.10812532233	0.0204389254395	0.0651169834643	0.101580687511	0.193142186302	0.196848016179
a31	0.121357271339	0.177209484821	0.0684834581564	0.02089847547	0.0629352445715	0.0899065013034	0.239085033457	0.220124530578
a39	0.0751680429849	0.198177313642	0.0503459088953	0.0245500206318	0.0701581212788	0.103677578855	0.255646069375	0.222276940697
a31	0.0510587625415	0.18178651315	0.0417763397188	0.0244146173625	0.0687556042905	0.101624912174	0.281764463452	0.248818805624
a18	0.0322309051332	0.147906232318	0.0280014008361	0.028067260167	0.0760265373314	0.101608153675	0.294519499211	0.291640029509
a31	0.0235664727473	0.099058817159	0.0412588913501	0.0300746613529	0.0871520943859	0.101650966258	0.31451176747	0.30272633408
a17	0.015018638941	0.080276420788	0.0457677038334	0.0437739908151	0.0855731873617	0.0933240376843	0.320193028423	0.31607299488
a31	0.0223123762321	0.0531594669713	0.0461884987482	0.0517298648599	0.0933169454641	0.0851228217924	0.309277719608	0.33889231848
a8	0.0257837585251	0.0440498551029	0.0425236208635	0.0700676068942	0.0672046014656	0.0598422125384	0.325708280403	0.364820094067
</S>	0.0230173950462	0.0332589774298	0.0304244043943	0.102352561558	0.0543768053382	0.0649866238096	0.311453875002	0.380129392673
