 	vuole	andare	a	Lecce	</S>
a20	0.122007072519	0.29877551866	0.23401787183	0.160760895795	0.184438625164
a31	0.085134173296	0.298057589277	0.327613756043	0.115014987104	0.174179497855
a18	0.074973779408	0.210429561698	0.333426001621	0.139332232628	0.241838426707
a46	0.0636311963186	0.149551492681	0.265617610152	0.168244773763	0.352954917418
a37	0.0415039742643	0.135731057659	0.189911036786	0.250941993843	0.381911933744
a23	0.0632496106586	0.121297573174	0.103781018544	0.309968610185	0.401703188388
a18	0.0728470216092	0.11341330772	0.0727875202243	0.332871113754	0.408081035933
a38	0.0467396468976	0.15105355601	0.06429755606	0.337926868361	0.399982370411
a37	0.0462059410239	0.169862117977	0.0954151858961	0.286217950014	0.40229880567
a31	0.044650820458	0.175739524344	0.167806087411	0.257673485549	0.354130093117
a20	0.0631515000506	0.1434234175	0.184364780966	0.24302195741	0.366038354106
</S>	0.0814440624038	0.105121887464	0.161829928812	0.221046720591	0.430557404253
