 	la	pasta	vuole	sale	</S>
a20	0.178127185765	0.165866082283	0.295284697532	0.274076722828	0.0866452928229
a31	0.0693436072612	0.215983481065	0.295651309299	0.331292358343	0.0877292334356
a37	0.113577718994	0.241529993168	0.23325881148	0.297120862329	0.114512623592
a46	0.137239767845	0.183937917602	0.152230184	0.356646140476	0.169945996298
a3	0.0822334111393	0.133997499439	0.1268407779	0.412976210225	0.243952090734
a27	0.0801978843425	0.163650472193	0.111223853281	0.327266284342	0.317661484791
a8	0.0614076041836	0.129003236375	0.118261104929	0.327103328981	0.36422470835
a31	0.0416551740684	0.108818128187	0.110386615973	0.368993872994	0.370146207919
a18	0.038174108302	0.101285732212	0.0921011651714	0.340285965885	0.428153041308
a31	0.0274477120782	0.111139256438	0.0739950474883	0.311523004688	0.475894988395
a23	0.0684389508241	0.132610610734	0.0718080079049	0.294441832512	0.432700591861
</S>	0.115736896961	0.116598613326	0.0900478378359	0.25746233792	0.420154298405
