 	non	ci	dimentichiamo	mai	</S>
a31	0.039022333405	0.292408604146	0.498744889981	0.166834881328	0.00298929739628
a20	0.0687788909462	0.269337245564	0.48081716316	0.174235939611	0.0068307761133
a31	0.0847319244461	0.328928593963	0.416748395079	0.16179904975	0.00779204673407
a11	0.203671192132	0.294320869818	0.341763229594	0.151540295466	0.00870442735703
a20	0.329167490292	0.177474459605	0.300818833286	0.175407093786	0.0171321477753
a31	0.222174128232	0.179409561284	0.395844994615	0.179520970195	0.0230503607785
a11	0.118610293501	0.229310381623	0.423024833525	0.199791916593	0.0292625809245
a31	0.0681630772797	0.237680752864	0.437465489603	0.192035206191	0.0646554808592
a18	0.0364766760529	0.240489105672	0.400122738772	0.241301830284	0.081609648143
a42	0.0246729167602	0.236991478706	0.257170756331	0.368853875395	0.112310965657
a31	0.0134773263354	0.233182261799	0.28073751214	0.319654091654	0.152948808464
a18	0.0149883768408	0.254891881771	0.271475896687	0.343861726173	0.114782114499
a31	0.0175440810606	0.260137354248	0.221899896736	0.387741007218	0.112677653154
a39	0.0288356692651	0.263933649366	0.200335199865	0.387537128406	0.119358352151
a31	0.0336661880713	0.227789587616	0.144944556175	0.425339462802	0.168260202804
a20	0.0342401208319	0.203794935259	0.125046611294	0.428381715601	0.208536611848
a39	0.0381919489205	0.219356401066	0.08645610856	0.4765507932	0.179444740349
a31	0.0260099998145	0.158157963641	0.0594425375467	0.468865949067	0.287523543516
a14	0.0206151209659	0.150682933137	0.0519614936156	0.444162095022	0.332578359745
a46	0.0269253453223	0.195978092784	0.0646366464885	0.447755189674	0.264704737022
a20	0.0223600263687	0.159009493475	0.0643813834562	0.477601314958	0.276647796874
a31	0.0134210147714	0.0962296698366	0.0447066319841	0.432543625786	0.413099075225
</S>	0.0115281861505	0.0677589263583	0.0318504265751	0.360487922493	0.528374555013
