 	l	anno	che	viene	mia	sorella	sta	per	sta	per	studiare	medicina	</S>
a8	0.0159703920788	0.209740435512	0.0758793104932	0.0227974883708	0.0181197285828	0.0887182404452	0.0361163147789	0.161849477019	0.0682810213948	0.037134385922	0.107077587871	0.105005977138	0.0533096113156
a31	0.0157428426792	0.116582437324	0.100982345138	0.0284219564281	0.0179581604316	0.0554106475204	0.0308219553735	0.137130963355	0.0749891749277	0.0485570414119	0.24390267504	0.0909457456939	0.0385540246495
a23	0.0177980426239	0.118738985915	0.0821217082255	0.0205356757785	0.0130165063079	0.0302609401018	0.0241025151137	0.126609687421	0.0727979782304	0.0645857799215	0.2793752023	0.102091923405	0.0479650329778
a31	0.0143006418605	0.167134822685	0.0533513489615	0.0116506540524	0.00994045757834	0.0200420934196	0.0137179776558	0.103271787737	0.0685899429517	0.0933230812078	0.255749165936	0.132296886804	0.0566311432059
a39	0.0384071156174	0.174177811524	0.061382787813	0.00507361810599	0.00611443113462	0.00830557742872	0.00737265971201	0.0809660694159	0.043909732892	0.143528060021	0.251184940679	0.0944498629457	0.0851273523755
a8	0.110035589186	0.120181191516	0.067123678785	0.00294291387081	0.00854613478301	0.0111982349208	0.021295291221	0.088412743506	0.0309937468275	0.168121112752	0.170571641819	0.094229721541	0.10634801843
a31	0.174229362756	0.12810366729	0.0717903559459	0.00187209474273	0.00705330158434	0.0107264662078	0.0242850468132	0.064887584027	0.0205528050589	0.10570043426	0.225849861885	0.0901323814626	0.0748166536754
a13	0.197527692572	0.14874717948	0.0690428231247	0.00259370284495	0.00663821705861	0.00856171439798	0.0311956565751	0.0500602320294	0.0261570294847	0.0776607446157	0.23383422216	0.0564027187803	0.0915780891337
a31	0.198958197707	0.163764914152	0.0379779896266	0.00302989479513	0.00680001807569	0.0082941637233	0.0344361345707	0.0499348619353	0.0293716780426	0.0754738443498	0.247869409208	0.0508644989774	0.093224420836
a46	0.199285507215	0.182014262898	0.0199238666179	0.00204070273445	0.00361771656675	0.00474635674364	0.0177099917886	0.0512163800082	0.0203804806925	0.0854168703098	0.261938408015	0.0557235022089	0.0959859526975
a35	0.19803297345	0.193782188747	0.0207360837132	0.0018578677778	0.00246695357858	0.00373226713048	0.015833012273	0.0503563972514	0.0188915802467	0.0953418817132	0.188488976006	0.0562821179667	0.154197682195
a24	0.197169741811	0.25787114645	0.0349405042963	0.00158748778853	0.00155457063421	0.00246688585481	0.0130999690411	0.0299415430182	0.015277435538	0.0604449074178	0.12886137529	0.05646654184	0.200317887568
a18	0.198072789965	0.271674225386	0.0472800908813	0.0017523830752	0.00189144240279	0.00294826179539	0.011001068952	0.0230214658313	0.0181802708105	0.0386759506405	0.0812996728376	0.0574481687467	0.246754218785
a17	0.197420884175	0.285986624269	0.0422425263743	0.0018381838703	0.00224823104096	0.0043311372608	0.00876839653942	0.0180953099933	0.01608107418	0.0266256033838	0.0621129142207	0.0634042749848	0.270844840322
a43	0.198979908258	0.248435357503	0.0286038065517	0.00365629040194	0.00399077723995	0.00676457995127	0.00803430078529	0.0146360898552	0.0161248179874	0.02874258428	0.0636023048047	0.0898645713796	0.288564614574
a31	0.13836296486	0.259938596709	0.0354006036009	0.00817598609903	0.00493936715852	0.00657891948256	0.0112886948827	0.0216256605732	0.0212096622038	0.0286814889827	0.112658975975	0.106545364318	0.244593713227
a20	0.112543211777	0.294700503204	0.0479814960365	0.00822430919423	0.00353150774377	0.00380718874032	0.0105850083975	0.0244159818018	0.0197880329182	0.0311200141059	0.130675329604	0.108199495137	0.204427920209
a24	0.162348414058	0.223523016915	0.0534139753306	0.00478059992144	0.00394222542247	0.00332042886451	0.0113606673422	0.0231495966841	0.0292841571966	0.0405141810519	0.0867561473441	0.0942543974217	0.26335218886
a49	0.175640008535	0.219596017265	0.0630801168893	0.00382051278325	0.00435849347286	0.00392127508924	0.010601702502	0.0209469850427	0.0289358659612	0.0322400044012	0.0598206888086	0.0728974076466	0.304140916772
a39	0.171599340552	0.268898321542	0.0647318044031	0.00356628484605	0.00346655143537	0.00411469578128	0.00601936360873	0.016158684344	0.0138406693561	0.022890392894	0.0416862942449	0.0698962114255	0.313131386771
a19	0.162837189275	0.256920185099	0.070108810681	0.00521056256075	0.00484716047746	0.00550012241047	0.00749896311851	0.0170704617634	0.0159516449517	0.0277815820126	0.0355709767679	0.0596233620618	0.331078976035
a18	0.149574429916	0.233679395012	0.0693068147537	0.00747754204473	0.00790257225538	0.00849642854093	0.0104016744682	0.0230843499368	0.0195663495619	0.0372591561697	0.0358202235152	0.0651751498073	0.332255907935
a31	0.0942781201389	0.319526828573	0.0620671801588	0.00663012038084	0.0069213413193	0.00727601159972	0.00942005758007	0.023734847031	0.0164729351384	0.0292952176034	0.0638754566118	0.0783964507102	0.282105414818
a17	0.0650404105307	0.325048276934	0.052459850244	0.0071257874887	0.00687578797297	0.00679190674685	0.0137472073924	0.0285485256113	0.0333698198027	0.0407316407068	0.0717081546976	0.0913732960311	0.257179313959
a20	0.0781041727671	0.248341127942	0.0408108355419	0.0109824758588	0.012270563818	0.0113626387693	0.0206132440699	0.0351264352861	0.046108531396	0.0580787742779	0.0370148606019	0.11231342133	0.288872900786
a31	0.0503835011818	0.297387708371	0.0355009895579	0.0122521215627	0.01419303198	0.0125337314652	0.0225889384533	0.0289925100519	0.0407045876222	0.044913271778	0.0658683259353	0.104393215174	0.270288052364
a37	0.0510891142497	0.276658880612	0.0310114225588	0.012261676382	0.0142943115968	0.0124899844928	0.0232886750818	0.0389164734213	0.0400791640313	0.0597501939159	0.0814779017884	0.100910183809	0.257772000023
a31	0.0519376381937	0.251248745715	0.0320456087132	0.0138522298249	0.0156962791721	0.013605644378	0.0243721172223	0.039870116151	0.0406258699718	0.0586925735824	0.0885271762608	0.100377535643	0.269148473808
a20	0.0576053879454	0.225079587946	0.0318856566241	0.0161160890165	0.0168211141684	0.0146642443469	0.0229604030925	0.0390174462143	0.0355986696788	0.0631041423585	0.09154310371	0.113780440648	0.271823745703
a31	0.0614996196243	0.192241449137	0.0305063284842	0.0185986153871	0.0188626484192	0.0169572754122	0.0228238147313	0.0384878672809	0.0326021384944	0.0639688321539	0.0873380349131	0.123222209383	0.292891189001
a24	0.0700891032716	0.183137666154	0.0337522216516	0.0176292432471	0.0188974380342	0.016176474737	0.0217036083782	0.0373321170605	0.0297709008998	0.0535063564693	0.092007397265	0.111220668028	0.3147768268
a20	0.112831961117	0.128691412403	0.0312301449663	0.0148776918716	0.0194628305483	0.0156067351767	0.0197489736672	0.0515030773247	0.0287918854491	0.0662554679595	0.0547503959142	0.131055018183	0.325194429333
a24	0.127928536991	0.12343571002	0.0278673730061	0.0120604528042	0.0216028801312	0.0150364438175	0.0180201205123	0.0582715522103	0.0251291557853	0.0642710096351	0.0428103860766	0.127652166314	0.335914233978
a8	0.102522431801	0.121414830707	0.0353083188296	0.0121067661937	0.0221445037378	0.0152578449669	0.0171987395465	0.0502398787403	0.0222303556167	0.0523225979454	0.0375198334682	0.150653814585	0.361080088326
a31	0.0503964161946	0.169939191604	0.0392593666309	0.0163266426449	0.0216982925287	0.0182781164489	0.0220894167368	0.0354187770208	0.0296189889989	0.0413589006025	0.0603797203994	0.164961162875	0.330274999509
a29	0.0561889799445	0.152990610959	0.0316521838183	0.0164990876795	0.0219499038668	0.0181561357864	0.023513097703	0.0482776740974	0.0320672268772	0.0637162237807	0.0752417627507	0.173279932732	0.28646717933
a31	0.0577903336468	0.132214298806	0.0288931857307	0.0167960272162	0.0224311243651	0.0183030573541	0.0237358109429	0.0457612703481	0.0321064786757	0.0567926610192	0.0660122765911	0.187412840104	0.31175063327
a28	0.0728461965119	0.124806612242	0.0306820950704	0.0188708206407	0.0228281796845	0.0185911996329	0.0232028730756	0.0418466588126	0.0291257892315	0.0522513395612	0.0621508165057	0.174255848781	0.328541575757
a24	0.150896880894	0.0683692187719	0.0240880812981	0.0143624271666	0.0234398775469	0.0152246728241	0.0177654486768	0.054527413258	0.0224427368363	0.058652483702	0.0503029157312	0.167750104322	0.332177765186
a46	0.158530013579	0.0760744936853	0.024031210022	0.0118081562478	0.0263163093088	0.0147872511471	0.0142632060283	0.0495738601095	0.0170701904446	0.0444726266276	0.0455532239411	0.173249026843	0.344270454595
a31	0.0887540628636	0.133637145726	0.0285545226805	0.0158566591347	0.0264189259634	0.0182858442389	0.0175812531789	0.0346574733184	0.0184640861603	0.0326972444253	0.0483059019257	0.180540623901	0.356246259132
