 	era	molto	stanco	</S>
a46	0.412692504391	0.265389237317	0.203332295402	0.118586000696
a8	0.391551647364	0.249224578065	0.209520007545	0.149703808012
a37	0.394673950101	0.24427403849	0.20737317594	0.153678858339
a31	0.403088538626	0.210134442185	0.218060776126	0.168716247904
a0	0.449213865245	0.154444829017	0.180586259889	0.21575504839
a20	0.405855992986	0.131265026085	0.140884621783	0.321994362137
a31	0.361896821068	0.160441234901	0.214176304259	0.263485640656
a39	0.335128154895	0.178934994809	0.245242906284	0.240693945075
a41	0.219686636043	0.187449688675	0.232500340895	0.360363343425
a31	0.213993053661	0.20273430251	0.291398123085	0.291874533008
a28	0.243652698684	0.170035201081	0.276178546015	0.310133562936
a11	0.208552788973	0.10008634948	0.217447942205	0.473912916712
a20	0.141741896556	0.0972282144747	0.248687709935	0.512342174437
a31	0.124882960246	0.111659946436	0.232529887038	0.530927214632
a11	0.114869939906	0.104124978976	0.247736876959	0.533268203877
</S>	0.0675812935975	0.103687209759	0.31810202361	0.510629455709
