 	vuole	pianto	</S>
a39	0.386312788691	0.578191214887	0.0354959881273
a31	0.382223784497	0.564496195042	0.0532800197623
a41	0.360947702109	0.595515538561	0.0435367733061
a31	0.314330913026	0.662609348987	0.0230597465554
a37	0.307514305671	0.622668727062	0.0698169775818
a11	0.26269047574	0.596677260554	0.140632276781
a39	0.162528110541	0.621733435251	0.215738458574
a31	0.0771128935458	0.615756611217	0.307130499825
a46	0.0616832454338	0.560963544939	0.377353214575
a31	0.0570724771945	0.48859488278	0.454332643158
</S>	0.033999102823	0.47139269789	0.494608200029
