 	è	pericoloso	di	nuotare	nella	notte	</S>
a31	0.0056580735084	0.118935221073	0.0507156002153	0.267596493576	0.373122275581	0.165362570635	0.0186097399535
a20	0.00696919274717	0.173112606024	0.0369392055033	0.283574593671	0.258360253987	0.227103501732	0.0139406415613
a31	0.00742398256375	0.191347221627	0.0353560677811	0.335401518911	0.151290296397	0.267260506574	0.0119204251482
a37	0.035810167331	0.20077264271	0.0362076714784	0.313684766056	0.132383715646	0.258884644923	0.0222564064428
a31	0.0474198348384	0.210994251828	0.0326095877952	0.261318049283	0.113797561541	0.307999295574	0.0258614300763
a30	0.0526093191525	0.23699781186	0.0283388560761	0.211340769915	0.1150827495	0.331254506326	0.0243760040751
a13	0.0640194218332	0.236862205045	0.0566547492127	0.203308345768	0.103060564194	0.285508439282	0.0505862833439
a20	0.0411537125796	0.195511895976	0.0681443708666	0.263419164197	0.0552800036687	0.291630489961	0.0848603664115
a41	0.0303634224976	0.20146911507	0.0551444511527	0.25142487193	0.0259233060929	0.314606787254	0.121068050283
a33	0.0252933274715	0.211499086453	0.0482361693335	0.163181045022	0.0184481428443	0.384371533151	0.148970709136
a31	0.0161324563508	0.242457172627	0.0863531928579	0.0984306259217	0.0186724218574	0.39652311393	0.14143103511
a41	0.0409129180291	0.28640552534	0.0971584562439	0.0632294905391	0.0250329934371	0.335621597523	0.151639021781
a0	0.0618733037982	0.288973664216	0.0587067609617	0.0399085120337	0.0416178038124	0.299842770241	0.20907718954
a31	0.0378812179439	0.286663849455	0.0492181992168	0.0446275864325	0.0480875751581	0.292351683814	0.241169905453
a24	0.0473617691188	0.233864632998	0.046186072003	0.045585099651	0.0474234611913	0.300776253938	0.278802714424
a31	0.057063645049	0.180222399438	0.0328454577761	0.0287096069508	0.0462269097107	0.325621073913	0.329310890101
a20	0.0505893346242	0.156046987056	0.028299501793	0.0216212689025	0.0456525890705	0.339139733238	0.358650573754
</S>	0.0587684073458	0.141272923705	0.0322250144104	0.0143748625338	0.0492695167791	0.332083989619	0.372005280227
