 	è	pericoloso	di	nuotare	di	notte	</S>
a37	0.0330390551052	0.152545431051	0.09061608536	0.33643940977	0.085528717617	0.246449752766	0.055381552557
a31	0.0156363540745	0.182500040503	0.0625231256535	0.353042282778	0.0894949604401	0.263295367492	0.0335078754334
a7	0.0102076750338	0.192431753889	0.0451629793513	0.384714019807	0.0822887193527	0.258348005452	0.0268468436335
a31	0.013341319677	0.195708477455	0.0394149779053	0.359097520591	0.0828846208051	0.295601354886	0.0139517085018
a20	0.0243930617428	0.260310779029	0.0253684234048	0.256931265771	0.062328895173	0.356141156565	0.0145264050872
a2	0.0231762105189	0.344118509729	0.0146987026985	0.20069333687	0.0263864995873	0.376682817595	0.0142439199566
a41	0.0239709551515	0.351045537037	0.0183423253579	0.177936897219	0.0151283381703	0.381894136119	0.0316818077625
a20	0.0299172862145	0.293123025129	0.0395539043683	0.175521493314	0.0193416268046	0.36756592002	0.0749767460288
a46	0.0217883811016	0.243742411599	0.0642726805048	0.156241570936	0.0251576165613	0.37821797094	0.110579373296
a31	0.0133581037911	0.25851983975	0.112401006422	0.0913351428494	0.0215845548121	0.388143486247	0.114657870828
a11	0.0236211273685	0.289450324565	0.111150007051	0.0659884746059	0.0228110318896	0.343947781082	0.143031266998
a35	0.0336817905368	0.306688930113	0.0646448802849	0.0539441560337	0.0281735024113	0.314489635694	0.198377133406
a31	0.0213951620314	0.26859606463	0.0841178520184	0.0577095109491	0.0229643091376	0.322089044165	0.223128078749
a11	0.0344086575369	0.21765407361	0.0900764154443	0.0558618957334	0.0255412453629	0.321371019655	0.25508670327
a28	0.0573283374561	0.200462346278	0.0572458190229	0.0299263863687	0.0306441187442	0.324787461885	0.29960553073
a20	0.0560982807624	0.175051402474	0.0375286567944	0.0232601988349	0.0295059187143	0.347836865495	0.330718668523
a10	0.0435353018946	0.160197836379	0.0255574049782	0.0203563844819	0.0272379271973	0.373850886898	0.349264267921
a31	0.0315008959274	0.173703334233	0.0177773630136	0.0281310955034	0.0214679984422	0.343707418099	0.38371191588
</S>	0.0272786488941	0.188526423233	0.0142399434097	0.0395342821219	0.017602434382	0.304630809449	0.40818747574
