 	Marika	tu	hai	mangiato	</S>
a8	0.106116182217	0.52362736819	0.0796892624915	0.249837137508	0.0407300657164
a31	0.104217646945	0.470481080149	0.0811152517865	0.317287772699	0.0268982670047
a24	0.0801229615059	0.486120450449	0.10665389683	0.310963474202	0.016139229409
a31	0.10124476778	0.486608265239	0.11357116483	0.28401047414	0.0145653350583
a28	0.170723603094	0.409060214757	0.0960254428106	0.308632951547	0.0155578018998
a31	0.19267684683	0.347082931401	0.103393613127	0.329690868102	0.0271557629246
a3	0.204916656476	0.257993056268	0.0926581832057	0.399347928094	0.0450842005089
a18	0.176108249	0.155356302037	0.0528817438219	0.537103822031	0.078549907983
a31	0.0958263581905	0.14885755633	0.081085385471	0.552848940744	0.121381772117
a23	0.0674975740504	0.142300017332	0.121381626672	0.496333490981	0.172487284648
a31	0.0868383825606	0.102035903571	0.141625686016	0.43992172246	0.229578294416
a20	0.109166697787	0.087164676824	0.171561319623	0.36471532082	0.267391966585
</S>	0.112360018227	0.0683110774385	0.179473738288	0.35778976021	0.282065379763
