 	se	vieni	a	casa	ogni	sabato	</S>
a23	0.0900292706033	0.197401214596	0.229913648695	0.0985424744039	0.0840667272319	0.200130374859	0.0999163283262
a31	0.110345645093	0.20940164027	0.128064079525	0.135868559259	0.153110204324	0.215044820964	0.0481650762439
a11	0.0799522564195	0.237685929056	0.163693104877	0.127399052769	0.159747862846	0.191686631039	0.0398351576087
a21	0.0812395669673	0.230216260122	0.154809468675	0.172109333338	0.162192778423	0.163606690698	0.035825888694
a31	0.170909152946	0.157336117056	0.119155472949	0.157350698602	0.156305357035	0.205217340414	0.0337258578185
a20	0.252281746192	0.0876511176129	0.102583516018	0.122931409236	0.169439589781	0.220084933091	0.0450277014505
a31	0.233289197257	0.0450646199634	0.105801089951	0.110609521066	0.196648886726	0.25896861417	0.0496180988391
a10	0.167681304625	0.0618043134433	0.115841941056	0.0830015801477	0.232847592648	0.276527565457	0.0622957126153
a31	0.130601603979	0.0664112185472	0.122518471967	0.0901400312827	0.216045522455	0.257657943619	0.116625195906
a21	0.113077367929	0.0929509080781	0.128173375952	0.0875611728821	0.12758678191	0.273241406473	0.177408968656
a11	0.140188233143	0.117864124149	0.0867818070363	0.0960969994217	0.0859896394767	0.256016813824	0.217062374772
a3	0.1415527874	0.118325786395	0.087111760343	0.0774681582701	0.0481079198956	0.255180179161	0.272253404531
a33	0.081484770978	0.116237961004	0.0793094424285	0.0652885276283	0.0596412604525	0.25102676414	0.34701126187
</S>	0.05846650403	0.090367620184	0.0642598962884	0.0688109670772	0.0833417266323	0.25336309077	0.381390184235
