 	non	aveva	da	stare	</S>
a37	0.439114001498	0.0262484918667	0.08707828233	0.191696270023	0.25586296651
a38	0.375297047306	0.0710082430034	0.0812438744967	0.177554122134	0.294896727718
a24	0.267523429575	0.122006512114	0.0688690149089	0.231236440718	0.310364611781
a8	0.242492407217	0.123538633584	0.0516722003263	0.247988314986	0.334308420884
a17	0.299858257579	0.0815678344453	0.0447719056041	0.227596545082	0.346205416558
a31	0.354408114452	0.0458395357902	0.0414709778834	0.228951243334	0.329330110819
a20	0.30490564736	0.0573658103135	0.0495255755078	0.263746962031	0.324456007733
a8	0.142515174541	0.0604755489739	0.0667238996245	0.343078789417	0.387206588411
a31	0.119068446624	0.0308619472954	0.0864266011754	0.342276062606	0.421366943824
a20	0.130832671782	0.0334255869445	0.120870726865	0.316986838403	0.397884185948
a31	0.122016510951	0.037264316113	0.172672935897	0.306072767312	0.361973479649
a8	0.118161760966	0.0668762804865	0.179670824414	0.28837106841	0.34692006615
a31	0.123701239813	0.0758673349723	0.177734517916	0.259797666835	0.362899218317
</S>	0.153639832027	0.0444460620903	0.190164017465	0.236731692811	0.375018358159
