 	e	che	cucino	</S>
a31	0.510792453707	0.108662072477	0.319465118318	0.0610803527427
a24	0.446406070506	0.177068784625	0.344010400287	0.0325147522775
a31	0.409379420556	0.185556800082	0.363174376683	0.0418894111246
a11	0.424331207094	0.125559962605	0.352332529862	0.0977762950305
a46	0.401394755155	0.112240640847	0.292270027737	0.194094563391
a41	0.436826469259	0.111886949966	0.162528530849	0.288758041273
a20	0.423221650093	0.0834846817057	0.148659531096	0.344634125038
a36	0.282115335614	0.0759857790992	0.226882151632	0.415016712079
a31	0.147142354263	0.0424323389253	0.298269442827	0.512155847693
a46	0.114553981189	0.0373555351135	0.267149075492	0.580941393831
</S>	0.125978713815	0.0507173112119	0.213997793146	0.609306163315
