 	è	che	è	entrato	da	qui	</S>
a31	0.16685240103	0.0487677377782	0.00579245763345	0.0685400214488	0.219480401315	0.455184614564	0.0353823750824
a7	0.235066730076	0.124130518492	0.00467175254258	0.0316173713999	0.157442199727	0.426248565709	0.0208228836891
a18	0.249490694991	0.207590613793	0.00975769034052	0.0129239922137	0.05968836678	0.4238015779	0.0367470769682
a31	0.215606023791	0.152844090032	0.0104865477313	0.0129791423539	0.0322137734795	0.49805670016	0.0778137190218
a46	0.187538240033	0.0718908292329	0.02360807393	0.016560454264	0.0270577459612	0.557694198387	0.115650457509
a31	0.169597996711	0.0771984557356	0.0373580826523	0.0236618109437	0.0300055658491	0.552237261129	0.109940848191
a39	0.14907095041	0.0838232592688	0.0666004021737	0.0302319785509	0.0358961187771	0.565669177643	0.068708130899
a28	0.121688112931	0.0966424408482	0.0912459810858	0.0273937673727	0.0345589174414	0.593254396677	0.0352163844397
a31	0.0773708739871	0.124994852245	0.0729103672934	0.0213184190119	0.0316261777105	0.568976970555	0.1028023321
</S>	0.0505097974857	0.127449777857	0.063269496573	0.0173539353577	0.0303793880447	0.532277611477	0.17875997663
