 	vogliono	girate	</S>
a31	0.35577863467	0.4228339382	0.221387419434
a20	0.33634920345	0.416392783047	0.247258009553
a31	0.231000403043	0.504337816529	0.264661777662
a18	0.193702293281	0.534956750576	0.27134095973
a46	0.115345350894	0.534579346259	0.35007530373
a31	0.145875791571	0.490221446353	0.363902751116
a3	0.171546510118	0.43710670041	0.391346780545
a10	0.11478271962	0.45808582289	0.427131467815
a39	0.0639435161422	0.456647586419	0.479408910138
</S>	0.0424897472851	0.426760095802	0.530750159069
