 	se	vieni	ogni	sabato	ti	compro	il	pane	</S>
a31	0.0228666689224	0.166343972111	0.0202441788507	0.0347712921067	0.083742036558	0.234129063716	0.28326518468	0.123432377595	0.031205231507
a29	0.0248367643545	0.192241842703	0.0205523194768	0.0776039345289	0.119585580364	0.204594478917	0.24825537812	0.0914947314103	0.0208349734253
a31	0.0176104764036	0.201189409755	0.0222448632428	0.149064882529	0.160288033007	0.11484120363	0.209487406713	0.1084106534	0.0168630750115
a20	0.0360490887379	0.181089636275	0.0251917449241	0.171689276682	0.156170194973	0.08268761905	0.194991388735	0.129242100041	0.0228889537928
a31	0.0467275070311	0.177843594985	0.0223097769268	0.133778063697	0.133483397346	0.108524662137	0.205448106782	0.141704943932	0.0301799333413
a28	0.0385772653179	0.122499380231	0.0400116311527	0.0750992289674	0.0980525380506	0.147235828459	0.236292788367	0.205041376299	0.0371899500174
a3	0.0416669754082	0.0532643724123	0.0744892716348	0.0553717279655	0.0607642591862	0.178515716466	0.217797654176	0.245443481627	0.0726865420061
a35	0.0311680032568	0.0381731788034	0.0694640533005	0.0678464786172	0.0328135717494	0.181470105122	0.223317284225	0.239227026737	0.116520318031
a31	0.0216600599916	0.0301153471922	0.036763824851	0.071427461993	0.050574938926	0.213498110372	0.213062242275	0.215579860774	0.147318170703
a20	0.0306510820099	0.0679424517602	0.0328290122176	0.0604646512996	0.0552954780615	0.208022972943	0.216698836185	0.190075297644	0.138020233939
a31	0.0409022579271	0.11398966631	0.0334390124331	0.0665898569044	0.0420097777248	0.17911599136	0.211841116422	0.147586201016	0.164526132936
a28	0.0471932158621	0.14514977707	0.0263719622902	0.065746565783	0.0351596328399	0.143211315007	0.200861915407	0.157853858142	0.178451767296
a13	0.0581037727207	0.189966054197	0.0304337291302	0.0601256054727	0.0201480952626	0.0822546385721	0.180061436402	0.23606635381	0.142840319295
a41	0.0567970102242	0.20441652427	0.0286637875388	0.056216212981	0.0162022601609	0.0658562741024	0.134256856534	0.259524097563	0.178066974218
a28	0.0654561183347	0.193484938567	0.0250258171369	0.0487144500247	0.0190315222531	0.0570225911711	0.0971811708447	0.260014367454	0.234069019859
a31	0.0937909101416	0.167490374197	0.0196072474384	0.0448119770553	0.033190422457	0.0860466054664	0.0766871957976	0.188586134485	0.28978913478
a20	0.0997541718172	0.157607475405	0.0323776229675	0.0382806299219	0.0350273456737	0.0863580212426	0.0636351431152	0.184164089868	0.30279551506
a31	0.111873378002	0.127499789831	0.0351342318836	0.026964755474	0.0272684264348	0.0641308969631	0.0621301995797	0.204369293443	0.340629034187
a24	0.102537230287	0.128348847518	0.0255386191342	0.0205997434883	0.0249578934947	0.0559117851645	0.0589367844012	0.209017089634	0.374151992629
a46	0.0552024593244	0.159695941026	0.0467080245853	0.0194660112233	0.0223713906949	0.0333867411841	0.0476969410871	0.272006182975	0.343466288063
</S>	0.0394356509191	0.156931440439	0.0644002618406	0.0196830399581	0.0235730636409	0.0280413919087	0.0402572885736	0.284949615973	0.342728229711
