 	viene	fabbricato	</S>
a31	0.134295465046	0.81963704114	0.0460675055971
a24	0.136442032629	0.84019856018	0.0233594054181
a31	0.178872436875	0.774881604753	0.0462459519693
a18	0.193760769496	0.749253613772	0.0569856269191
a31	0.199069447465	0.744049132019	0.0568814306593
a37	0.206197591241	0.668687028273	0.125115386986
a31	0.179239171825	0.622834611158	0.197926218689
a20	0.186205037828	0.482491373297	0.33130358909
a41	0.206216220165	0.383237622511	0.410546162517
a31	0.12691956298	0.423860049598	0.449220385992
a35	0.102008672915	0.317695931486	0.580295380464
</S>	0.135838275503	0.221017774183	0.643143927232
