 	forse	non	li	ha	a	casa	</S>
f	0.6560219	0.27282596	0.020885594	0.00025084187	0.00036255183	0.00026215485	0.049390905
ò	0.9841695	0.009571593	0.004986472	4.444646e-05	0.00026977237	1.0419052e-05	0.00094787194
r	0.83897316	0.14424692	0.0096889455	0.0024249428	0.0002466782	8.845258e-06	0.0044107344
s	0.19290265	0.16002345	0.30642968	0.16288304	0.17528851	0.002269738	0.00020285921
i	0.036418222	0.7940171	0.109211914	0.029904198	0.010705633	0.00067953067	0.01906337
e	0.00067247	0.6312776	0.34081614	0.025895253	0.00096943835	1.5569129e-06	0.00036752087
t	0.002841755	0.26109272	0.35181317	0.35669833	0.019219158	0.00033365385	0.008001259
u	0.32513943	0.12541546	0.40497008	0.04299429	0.06901528	0.0025435768	0.029921904
s	0.0027261772	0.20099376	0.42322958	0.32142115	0.048598092	0.00015486644	0.0028764529
è	0.00040684085	0.0010311912	0.07304242	0.41551384	0.35637745	0.10672561	0.04690265
c	3.434499e-05	0.011260291	0.060314715	0.71056587	0.20161726	0.0051845247	0.011023017
h	4.004337e-05	0.02905329	0.43518975	0.28197002	0.23974545	0.011335872	0.0026654967
i	0.00052460044	0.013813165	0.09991358	0.74078876	0.09881013	0.009777282	0.036372487
è	4.6252255e-05	0.0010756367	0.065846875	0.5523684	0.30303258	0.009581611	0.068048656
s	4.373315e-06	0.00040132887	0.014527041	0.30747843	0.243301	0.3998039	0.0344839
s	0.00010052585	0.00031665078	0.004067752	0.35574603	0.16649094	0.4717717	0.0015064455
u	0.002228096	0.0010022502	0.015318022	0.1911312	0.5442729	0.025710857	0.22033663
</S>	4.5222438e-05	2.1588878e-05	0.00018479642	0.03730431	0.11017721	0.07625038	0.7760165
