 	l	ha	scritta	</S>
t	0.9808319	0.0014564749	0.00076620403	0.01694541
o	0.93763953	0.027072445	0.01882042	0.016467623
è	0.07785307	0.85254836	0.014385395	0.05521323
g	0.02857729	0.9571043	0.0065391455	0.007779211
r	0.19667599	0.7567326	0.045926273	0.00066522864
a	0.4421511	0.55268073	0.0026593227	0.0025088293
t	0.0006077766	0.7460439	0.17098112	0.08236723
s	0.006955114	0.4769493	0.5140161	0.00207951
e	0.006277264	0.16246067	0.022214884	0.80904716
</S>	3.8886894e-05	0.035434015	0.17307746	0.79144967
