 	ho	messo	uno	specchio	sul	muro	</S>
è	0.9419726	0.0012151338	0.0005912936	0.00024064459	0.0008178081	0.015359026	0.039803427
v	0.11048964	0.8835084	0.0029363015	0.0017659047	0.00071312266	3.4522975e-05	0.00055209163
a	0.88123757	0.07740573	0.020035489	0.020297864	0.00094437413	8.013255e-06	7.0947855e-05
l	0.041260008	0.78537273	0.12615763	0.042779412	0.0023053754	1.5143442e-05	0.0021096773
a	0.54419225	0.04659044	0.09883705	0.30086184	0.009473486	5.9275985e-06	3.900629e-05
è	0.114797674	0.09462753	0.2551787	0.46447644	0.057921156	0.00018299102	0.012815585
n	0.0001958895	0.04279786	0.70694363	0.20580097	0.040550165	0.0012177037	0.0024937761
a	0.0030440353	0.000794159	0.2882963	0.69828874	0.009031134	0.00030191784	0.00024373272
n	0.0026609462	0.0034165385	0.26447868	0.5608081	0.1411135	0.003897997	0.02362423
j	0.014951719	0.00896829	0.8619072	0.106754735	0.0059110103	0.00071393437	0.00079324644
a	0.11662367	0.008773456	0.22242297	0.008180459	0.067979336	0.0011769485	0.5748431
l	3.2606447e-05	0.0005310566	0.17079616	0.36590457	0.3435595	0.032730743	0.08644533
ì	0.0023359982	0.0015156156	0.7392035	0.1804456	0.057267956	0.0035648062	0.015666505
s	0.00096020254	6.703975e-05	0.01434319	0.2522338	0.41587245	0.15763985	0.15888351
t	0.16099997	0.0001487054	0.0871675	0.12321749	0.35602066	0.25809187	0.014353787
o	0.05579135	0.001486643	0.027780188	0.0061000623	0.5186371	0.068445496	0.3217592
t	7.2079114e-05	0.00013892751	0.0027844766	0.009910135	0.1490079	0.32447454	0.513612
ì	0.027114926	0.0004629696	0.56936896	0.039080005	0.15321395	0.18846324	0.022295903
c	0.00027825084	2.2601847e-05	0.00052262394	0.00615574	0.17641038	0.4913167	0.32529372
h	1.1624518e-05	0.0013823091	0.11531631	0.023640411	0.07350889	0.6376649	0.14847565
o	0.00019468207	8.050339e-05	0.057980724	0.004319322	0.33795857	0.33822337	0.26124284
</S>	2.8666142e-05	0.000104470804	0.00091608515	0.0017186445	0.02579953	0.5766615	0.394771
