 	dovevo	comprare	il	pane	</S>
ì	0.013561	0.001662608	0.044276442	0.6818233	0.25867665
c	0.96719646	0.025502086	0.0015581662	2.2498574e-05	0.005720806
h	0.04229794	0.15349501	0.7574467	0.038976323	0.007783919
a	0.9811717	0.018045735	0.0004053467	4.0380104e-07	0.00037688884
n	0.7864838	0.20046885	0.008653236	0.00015873776	0.004235309
a	0.048274532	0.92622995	0.019309636	0.00010980879	0.0060760905
a	0.07600214	0.79317933	0.09910393	0.0019283172	0.029786292
f	0.0026245993	0.17301312	0.07671061	0.03828701	0.70936465
o	0.00014290647	0.01382115	0.9019801	0.07294176	0.011114003
r	0.00064195006	0.0022032843	0.9427636	0.03838957	0.016001543
à	0.00017131279	0.56556314	0.36268678	0.0255812	0.04599765
s	0.00033385502	0.00068432867	0.03636362	0.5047827	0.4578355
o	0.0003252425	0.07396571	0.6586648	0.25744012	0.009604157
t	0.00019148544	0.0009328299	0.6922384	0.21321934	0.09341792
o	8.5191714e-05	0.04791398	0.30397165	0.6045631	0.04346609
t	2.0204832e-05	0.00044129076	0.21147312	0.5983738	0.18969153
s	2.2675249e-05	0.014647204	0.045256145	0.9041179	0.03595613
o	0.0015950769	0.00086739735	0.52428275	0.42229262	0.050962143
m	1.4322065e-06	2.8727393e-06	2.8635446e-05	0.044172265	0.9557949
ì	2.2905026e-06	8.241297e-05	0.00055658765	0.61031777	0.38904095
</S>	0.00023508033	2.0108857e-05	0.00050460675	0.028429754	0.9708104
