 	ho	cosa	a	fare	</S>
è	0.9954939	0.00048763875	5.9408398e-05	0.000101145604	0.0038579614
c	0.0160479	0.9484448	0.034146108	0.00027988807	0.0010814047
h	0.0066032168	0.25104946	0.58756894	0.15385504	0.00092333026
o	0.33858132	0.64974225	0.007556325	0.00016451454	0.0039556418
t	0.003457824	0.8037885	0.17101769	0.0044073127	0.017328689
i	0.11933284	0.6984329	0.17495409	0.0037376715	0.003542474
k	0.000589903	0.42301017	0.53251743	0.020891538	0.02299094
à	0.0017454624	0.025643207	0.42137006	0.54835206	0.002889243
i	0.0042762575	0.005238233	0.1482007	0.65873826	0.18354653
</S>	0.00010057497	6.3772844e-05	0.05253632	0.91398495	0.033314347
