 	non	sono	ancora	vestita	</S>
e	0.7249712	0.0063352985	0.020395035	0.0029923245	0.24530627
n	0.9565858	0.022996921	0.017312225	0.0010174192	0.0020877658
ì	0.008829602	0.020887632	0.013710441	0.020434849	0.93613744
m	0.020619316	0.96745044	0.0058789067	0.00050664146	0.0055446727
e	0.33108	0.5894114	0.031372476	0.047759287	0.00037674527
a	0.019188458	0.02676611	0.9469142	0.0008524686	0.006278805
n	0.010380117	0.004393911	0.87047744	0.08539608	0.029352546
k	0.0034357389	0.026770419	0.04696696	0.1432476	0.7795793
ò	0.03205949	0.81785	0.017339313	0.084815085	0.047936086
r	0.00036262305	0.0001206985	0.8543573	0.10177436	0.04338489
a	0.008985112	0.020970337	0.69868636	0.25355896	0.017799238
e	0.0006289253	4.402161e-06	0.969443	0.019448927	0.010474703
n	1.0322519e-05	1.651893e-06	0.68878883	0.3009026	0.010296545
d	0.00024203636	0.0015848954	0.021260576	0.6549579	0.3219545
i	0.011428794	0.3014797	0.021807032	0.54348034	0.12180411
m	6.514951e-05	2.973674e-06	0.08455441	0.38032863	0.53504884
è	5.8736463e-05	2.93325e-05	0.07372661	0.8350556	0.09112977
n	0.014440701	1.5259973e-06	0.52536726	0.085414	0.3747765
i	0.0016129895	0.21454218	0.048344657	0.6025632	0.13293697
</S>	0.00021499848	6.6480636e-05	0.014891843	0.10786454	0.8769622
