 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.0025756021	0.00035223467	0.0067560337	0.20043448	0.49837068	0.22681205	0.06469891
c	0.937202	0.059060957	0.0019882908	0.00020825634	0.00010992868	1.0890035e-06	0.0014293703
h	0.10361507	0.1032341	0.46654382	0.27020547	0.048178867	0.0039267335	0.0042959023
a	0.9647141	0.032842163	0.002265224	4.7638923e-06	1.1962594e-06	1.2488017e-08	0.00017260537
n	0.6828722	0.30029345	0.0127861835	0.0015734303	0.0008860562	1.9062087e-07	0.0015885552
a	0.114671126	0.8228355	0.05849952	9.143596e-05	2.5663141e-05	1.4744011e-06	0.0038753145
v	0.04537343	0.6694972	0.26371983	0.0059257396	0.0021330372	2.14636e-06	0.013348694
o	0.0010174905	0.38651597	0.5892601	0.0035342728	0.0003669728	0.00016062983	0.0191445
r	0.0067528877	0.03417346	0.914139	0.033947986	0.0061960355	1.1524568e-05	0.0047791526
à	0.0003031545	0.7395043	0.24032366	0.0015169553	0.00029795695	3.862067e-06	0.018050069
s	0.0003039128	0.0055213706	0.0784591	0.24543451	0.34559765	0.0056753163	0.31900814
o	0.000745498	0.15151224	0.64922094	0.17608938	0.01995225	0.0007045835	0.0017751176
t	8.604379e-05	0.00021695347	0.30772686	0.47485372	0.20580249	0.00039545805	0.010918445
o	0.000336877	0.08494608	0.6225285	0.18492983	0.07185648	0.0007700051	0.034632217
t	2.8070986e-05	0.00015754275	0.21968062	0.45391187	0.29380828	0.0047105243	0.027703058
s	0.00016288036	0.04748285	0.22825217	0.36000153	0.2539288	0.001621281	0.10855052
o	0.005466093	0.0004405797	0.6114747	0.26032007	0.07010545	0.0009178468	0.051275205
m	9.139526e-07	8.4542273e-07	4.2344313e-05	0.0013734173	0.027993435	0.0066305306	0.9639585
ì	3.324994e-05	0.0008689729	0.0025847908	0.35106346	0.13974002	0.07828409	0.42742538
k	1.2255657e-05	9.1082427e-07	0.00025565832	0.0155768795	0.031007815	0.14478044	0.80836606
à	3.5423943e-06	0.00065469276	0.00092287	0.09589821	0.87917805	0.0039369287	0.019405656
i	2.095575e-07	1.996894e-07	1.910891e-05	0.0024345	0.040480193	0.68545353	0.2716122
m	4.5628752e-08	2.684586e-05	3.137233e-06	0.00076930167	0.2539044	0.34342435	0.40187198
è	2.3432753e-07	0.00015045977	0.00032138976	0.15202792	0.4715907	0.29677698	0.07913229
r	9.552294e-09	1.8057234e-07	2.1672329e-06	0.0003458169	0.049270876	0.76843184	0.18194905
i	3.9884647e-08	4.4021464e-05	5.670723e-05	0.02094347	0.88063973	0.09028211	0.008033885
</S>	7.3088835e-08	7.7309705e-06	5.0050487e-05	0.0007145606	0.032912694	0.24821964	0.71809524
