 	lo	sentii	che	viene	</S>
t	0.9852524	0.0007861527	9.0068366e-05	2.535163e-05	0.01384611
o	0.8851721	0.037374713	0.020759264	0.050230213	0.006463649
n	0.05536908	0.90322846	0.021514172	0.0031174638	0.016770745
ì	0.0006952272	0.0043953457	0.04521045	0.93999535	0.009703613
k	0.002218305	0.9670474	0.029314708	0.0012180912	0.00020154765
u	0.9232616	0.07535478	0.0010350127	0.00034261314	5.9658096e-06
s	0.0005061657	0.95871764	0.035079185	0.00449598	0.0012009667
a	0.011533073	0.38981482	0.57711524	0.0026473338	0.018889515
n	0.005810453	0.6097988	0.29684174	0.073218785	0.014330259
a	0.019739214	0.05718976	0.5558307	0.35569507	0.011545234
r	0.0013136229	0.020690968	0.17830777	0.7377508	0.061936844
t	0.15588112	0.030485164	0.11091145	0.69920045	0.003521831
i	0.29735288	0.0223761	0.35474548	0.16619436	0.15933123
</S>	4.6341378e-05	5.2955318e-05	0.0015910029	0.11218669	0.88612294
