 	non	mi	aspetti	non	vengo	</S>
m	0.00037245266	0.00017869716	0.0047533796	0.03342358	0.064913675	0.89635825
ì	0.881602	0.11589993	0.00062141474	0.0018591115	1.3696192e-07	1.7366046e-05
m	0.009938776	0.96310127	0.023829402	0.0028791456	7.245647e-06	0.00024415297
e	0.20802948	0.70551896	0.05049643	0.034991127	0.00028022192	0.0006836986
m	0.008368953	0.79066724	0.18218036	0.016875008	3.3640485e-05	0.0018746825
ì	0.42528233	0.5738876	0.0004253285	0.00027630385	7.8840776e-07	0.00012766685
n	0.0021734827	0.020450173	0.47874138	0.3992401	0.030972715	0.06842218
i	0.29097182	0.3937656	0.105620846	0.022633415	0.17415896	0.012849361
e	2.4241792e-06	0.00013326421	0.12966155	0.8506312	0.013881611	0.0056900214
n	1.9146355e-06	1.616851e-05	0.064850785	0.7500582	0.16664633	0.018426629
è	0.0050953203	0.013542663	0.2100613	0.098752625	0.1538412	0.51870686
r	1.1451414e-06	2.5374497e-06	0.007375353	0.44266832	0.526205	0.023747614
k	4.5582046e-06	0.00013514076	0.04044781	0.28521743	0.6275891	0.046605904
o	9.165189e-05	3.130166e-05	0.0063804435	0.15122087	0.7630691	0.079206616
m	4.2406045e-06	6.193264e-08	9.851538e-05	0.21747991	0.55085695	0.2315603
e	3.3253265e-05	7.476101e-05	0.006910954	0.46310908	0.22627434	0.30359757
</S>	2.15539e-06	7.3181106e-08	9.4959476e-05	0.0647773	0.17839772	0.7567278
