 	non	li	aspettiamo	più	</S>
e	0.82706976	0.021142934	0.00073482044	0.00033347742	0.15071899
t	0.46269146	0.5359397	0.0009303337	7.27509e-05	0.00036569874
u	0.057825014	0.6992161	0.10267166	0.028483052	0.11180408
s	0.035278905	0.927491	0.03611988	0.00046896364	0.0006413327
m	0.0010581426	0.43126288	0.46155074	0.0873613	0.018766893
è	0.011015074	0.82036793	0.09329806	0.00040004266	0.07491887
n	0.071407124	0.07101019	0.05887179	0.24368854	0.55502236
u	0.024121879	0.33041507	0.39449322	0.24588951	0.0050802254
m	0.008054874	0.013081844	0.5606406	0.28992403	0.12829868
e	0.007356318	0.43221036	0.22512715	0.1027033	0.23260286
p	0.00087302265	0.0006259269	0.10113244	0.40504873	0.49231982
l	5.0098573e-05	0.0028410628	0.0986955	0.863287	0.035126366
è	0.00063282275	0.006694732	0.7852456	0.12386421	0.08356261
o	0.079591386	0.0002585068	0.0017045104	0.86696523	0.051480472
</S>	0.0002992156	1.5642501e-05	0.0014796971	0.8101463	0.18805908
