 	sto	ancora	cucinando	</S>
s	0.98026705	0.017093983	0.0011908995	0.0014480797
t	0.9336555	0.006939612	0.03718312	0.022221794
e	0.15154506	0.008863023	0.0028590506	0.8367328
a	0.24456051	0.63260466	0.008004761	0.11483001
n	0.07838303	0.1240244	0.32885987	0.46873268
k	0.03495622	0.01605222	0.032387182	0.91660446
ò	0.98937464	0.009134556	0.00036867155	0.0011220864
r	0.00026650185	0.9633749	0.024231745	0.012126857
a	0.11689019	0.77683544	0.098911464	0.007362902
m	3.719683e-05	0.9744275	0.023080535	0.002454728
a	0.04528918	0.1136687	0.82756764	0.013474536
r	8.9580506e-05	0.5151315	0.22770143	0.25707754
è	0.23031105	0.010427751	0.06803046	0.6912308
o	8.417054e-05	0.05321371	0.9315374	0.01516467
n	1.2704491e-05	0.023905452	0.5096449	0.4664369
t	0.8570879	0.0013708972	0.05795518	0.08358604
a	0.9597228	0.0027555344	0.011397338	0.026124317
</S>	8.073067e-06	0.00030441445	0.15227619	0.84741133
