 	ha	che	sono	usciti	</S>
è	0.99810225	9.559464e-05	1.169342e-05	3.8656854e-05	0.0017518867
n	0.34398538	0.5731357	0.06516415	0.0034002077	0.014314586
a	0.6878884	0.25067088	0.046360254	0.011967634	0.0031128835
g	0.0050911317	0.6529993	0.31324393	0.0073786983	0.021286916
u	0.94007725	0.03917632	0.017584067	0.0014861681	0.0016761188
ì	0.0066705877	0.19708535	0.6291273	0.051079493	0.11603726
k	0.008014364	0.008015291	0.3136156	0.33470726	0.33564743
a	0.4945761	0.13332039	0.25531444	0.087610334	0.029178765
n	0.0019742968	0.00032725965	0.26483506	0.3057663	0.42709705
e	0.16431832	0.0069462755	0.7747604	0.04299725	0.010977667
</S>	0.0015125101	5.9087415e-05	0.1688267	0.2993162	0.5302855
