 	non	sapeva	dove	a	stare	</S>
e	0.8239039	0.005058523	0.0015339172	0.0010851092	0.015785117	0.15263337
n	0.75957674	0.19118434	0.03262673	0.0010942761	0.0077023255	0.007815637
ì	0.0054140813	0.02448222	0.030740403	0.013095581	0.63187796	0.29438972
s	0.00070499966	0.9694778	0.02018765	0.00079570164	0.007485005	0.0013488649
s	0.014512175	0.82129025	0.146426	0.016816596	0.00011972561	0.0008352586
e	0.05502804	0.74684906	0.10592547	0.046288356	0.00033776896	0.04557122
r	0.0011562792	0.07119836	0.8498208	0.043104243	0.0053599975	0.029360339
e	0.010639058	0.7320432	0.25049734	0.004838653	0.00020874223	0.0017730301
p	0.001948485	0.0057778745	0.66050184	0.27052367	0.04003376	0.021214366
u	0.00047042815	0.10710095	0.629552	0.21919902	0.025934607	0.017742975
n	0.00067421765	0.0007495538	0.17105867	0.58844066	0.21441925	0.02465764
a	0.00021853388	0.031179331	0.3052978	0.58200586	0.04194473	0.03935366
s	0.0005469515	0.0002456711	0.044312388	0.54932004	0.36791676	0.037658088
t	0.00011173133	0.021164048	0.1352557	0.7578435	0.060615033	0.025009997
a	0.03239173	0.0035601796	0.0815112	0.82192034	0.011816057	0.048800472
s	3.5323657e-05	7.34072e-07	0.00019913664	0.13671106	0.47404167	0.3890121
ì	8.3696864e-07	0.00053321425	0.00012633922	0.011263102	0.9669266	0.021149881
</S>	0.012326694	2.253073e-06	0.000671484	0.093429185	0.118204996	0.77536535
