 	la	casa	la	costruisce	il	mastro	</S>
o	0.9813555	0.0030663908	0.00028798394	0.0009764347	0.000930507	0.0010966249	0.012286519
s	0.030130228	0.96294856	0.0022023441	8.151032e-05	0.0012711812	0.00010338695	0.0032627739
p	0.7203292	0.26613465	0.006146595	0.00010185723	0.006919887	0.000117079624	0.0002507112
ì	0.10819519	0.8399522	0.043431204	0.000592516	0.00031041083	2.8725563e-05	0.0074898787
t	0.00016002485	0.9946684	0.0049278573	0.00011084396	3.5118364e-06	2.571463e-07	0.0001289809
i	0.045462817	0.007218918	0.93219995	0.011715722	0.0022893853	0.0010930335	2.0140922e-05
o	0.004455149	0.7758937	0.21148394	0.00723479	0.00011835839	1.2358453e-06	0.00081285584
f	0.000346151	0.08035121	0.36432552	0.54730463	0.002928082	0.0008901143	0.0038542962
a	0.013247316	0.08298304	0.72627115	0.10754078	0.068110876	0.0015517892	0.00029503935
b	0.0065644975	0.04218653	0.53823847	0.35797405	0.041674566	0.00092584355	0.01243603
b	0.012259124	0.007555239	0.7522677	0.1902118	0.034496896	0.0020660646	0.0011430935
r	0.8674983	0.013522388	0.036822166	0.029742846	0.018991975	0.001208282	0.03221403
i	0.0456401	0.019954938	0.0293583	0.8749388	0.0023059535	0.0017595189	0.026042335
k	0.00023349325	0.0006970635	0.032052338	0.10457791	0.017826471	0.003331948	0.84128076
è	0.017736193	0.00013874467	0.028633442	0.08001518	0.11162684	0.021629538	0.7402201
i	0.0049569737	0.0033274645	0.00690216	0.6609286	0.040908992	0.039068203	0.24390754
o	1.5522174e-06	4.094983e-05	0.0031617999	0.9431392	0.005640064	0.04300193	0.00501448
m	2.7364287e-05	0.00010208523	0.004072347	0.8197298	0.07411949	0.094175085	0.0077737304
à	0.002436419	0.00093218003	0.008964474	0.13788387	0.80236614	0.03128397	0.016132938
s	1.5979502e-05	1.9817197e-05	0.0005370996	0.944738	0.016587673	0.027958909	0.010142588
c	0.012657717	0.00016677922	0.030256202	0.5114819	0.07226615	0.3715128	0.0016584796
i	2.3550217e-06	3.522318e-05	0.0014169251	0.05953612	0.1649948	0.08736739	0.6866472
a	1.2307238e-06	5.0193685e-06	0.0002514611	0.030173063	0.30115086	0.3627668	0.30565158
</S>	4.1657986e-06	2.3312821e-05	0.0010938199	0.18660659	0.15212171	0.52534056	0.13480984
