 	lo	posso	finire	di	scrivere	</S>
o	0.9505617	0.0053248904	0.00042067247	0.00046137063	0.0011616956	0.042069577
s	0.616501	0.14136536	0.0053207474	0.0058101667	0.17694671	0.05405601
ò	0.056700457	0.8585125	0.0019429091	0.02696555	0.034765393	0.021113152
z	0.12074539	0.81949705	0.057700105	0.0015296902	0.000344879	0.00018289732
o	0.98376286	0.014684565	0.0012655639	0.00028424125	1.310239e-06	1.4026267e-06
s	0.013615992	0.73774093	0.20743683	0.038932312	0.0011079345	0.0011661022
p	0.16351621	0.4542062	0.2688643	0.10930669	0.00029140903	0.003815173
i	0.6819917	0.19928904	0.098366804	0.012220245	2.8917413e-05	0.008103329
c	0.0001276883	0.10804539	0.81624556	0.053319618	0.0067577166	0.0155040575
c	0.0026727114	0.14827558	0.021833079	0.101392284	0.69875115	0.027075222
è	0.00047252353	0.00618177	0.019979315	0.1523739	0.4657089	0.35528362
t	0.0008769621	0.49852374	0.02055755	0.027588917	0.4050213	0.04743147
s	0.09918272	0.009519477	0.7649035	0.12069833	0.0017769779	0.0039189993
i	0.0027104174	0.0018689052	0.59316987	0.20980099	0.0010776315	0.19137223
à	3.2877844e-05	0.0013278335	0.16082582	0.33722305	0.030608706	0.4699816
t	2.9596118e-05	0.0019015658	0.0743148	0.44875997	0.40736437	0.06762982
s	0.122915	0.0021062698	0.5820017	0.26292205	0.021581184	0.00847381
e	0.012429595	0.0016893275	0.061794378	0.5660199	0.0034242326	0.35464263
g	1.5150052e-05	8.993259e-05	0.017066848	0.39060932	0.0434607	0.54875803
r	0.0039183362	0.00025468774	0.07174747	0.2672813	0.15164278	0.50515544
à	0.032720078	0.005899662	0.025524504	0.5422464	0.0030401605	0.3905692
t	0.0011027135	0.00014231494	3.8919392e-05	0.003013777	0.9549108	0.040791504
s	0.112354405	0.000593426	0.078188404	0.12890068	0.22554989	0.45441318
i	0.015721519	0.0070809275	0.004304503	0.044607498	0.0035713555	0.9247142
</S>	6.6789784e-05	0.00012385027	2.9858593e-05	0.0019046348	0.17555855	0.8223163
