 	ho	rotto	una	bottiglia	</S>
è	0.9894299	0.0023359107	0.0001955433	8.739651e-05	0.007951312
g	0.20903079	0.758047	0.031463113	4.4742304e-05	0.0014144115
l	0.56488526	0.40737593	0.027688043	3.1683227e-05	1.9124469e-05
a	0.40280926	0.58403575	0.011834114	4.4706857e-07	0.0013204835
s	0.0034180656	0.9198169	0.07230112	5.368274e-05	0.0044101803
a	0.28561035	0.47616675	0.23801102	7.811308e-06	0.00020398559
m	0.0075294473	0.0643353	0.91890043	5.1516246e-05	0.009183252
i	0.08165118	0.22423026	0.5905639	0.0017282737	0.10182637
a	0.00037144628	0.012620932	0.81758845	0.0025241515	0.16689509
b	0.0002134595	0.005048415	0.9621604	0.0063784206	0.026199259
u	0.0042452337	0.007259256	0.94196045	0.034725543	0.0118094785
t	0.0006931301	0.0011586221	0.9096008	0.0053573735	0.083190165
t	0.0017754048	0.006488707	0.9676134	0.00706343	0.017059041
ì	0.17230923	0.015316649	0.43801993	0.0019605337	0.37239364
g	0.004266772	9.581394e-05	0.024846481	0.9287838	0.04200712
l	0.001921452	0.00022263888	0.65110743	0.3086587	0.03808974
i	0.36275646	0.008606732	0.079252884	0.020047002	0.5293369
a	0.0010850575	0.000105563944	0.0019964592	0.8350294	0.1617835
</S>	6.539301e-05	0.0012393453	0.021880886	0.31996098	0.65685344
