 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	0.9761294	6.151557e-05	0.0011302917	2.379625e-05	8.5626525e-05	0.012663956	0.0041128276	0.001724376	0.00067194126	0.0014345503	0.001961747
a	0.8877403	0.0076103145	0.0043415846	0.0028191616	0.0003785106	0.005118267	0.00071977044	0.00037519107	0.00088158733	0.00047848746	0.089536786
p	0.7947251	0.0834777	0.017736373	0.0014190797	0.00039819954	0.0013185526	6.502112e-05	3.1057836e-05	1.660082e-05	2.3103303e-05	0.10078918
e	0.26656651	0.14598928	0.015109425	0.1870328	0.014533696	0.031486813	0.0116574615	0.00292213	0.037437633	0.004540899	0.28272334
d	0.0630666	0.85272324	0.06543614	0.016679162	0.0010736586	0.00068012613	7.0586924e-05	8.513637e-05	5.6022795e-06	3.2299656e-06	0.00017644318
ì	0.0076207984	0.9120863	0.0023313584	0.07180962	0.0020667715	9.814705e-05	5.912996e-05	6.038833e-05	3.6870068e-05	2.0097457e-05	0.0038105429
a	0.0065302732	0.10604893	0.81505406	0.0468352	0.020128129	0.004437015	0.0006654186	8.939843e-05	2.9483286e-05	1.1982162e-06	0.00018086487
m	0.04060666	0.027682899	0.610195	0.0542062	0.101852134	0.05609606	0.03038266	0.038434714	0.0012369954	0.002472071	0.0368347
i	0.09909577	0.57065654	0.01635543	0.265318	0.00939841	0.0251423	0.0034120998	0.0011219417	0.0032416724	0.0005855812	0.0056722136
n	0.067103215	0.2369957	0.53910166	0.119263254	0.012283671	0.021638172	0.0018362364	0.0007662307	9.8448894e-05	3.1320535e-05	0.0008820864
c	0.0011107043	0.43804166	0.00944353	0.22921602	0.056881424	0.0010874319	0.0005759324	0.0009300966	0.0006279954	0.00053720595	0.26154795
i	0.21118563	0.4085796	0.109019205	0.117989406	0.01984716	0.017670179	0.0050057755	0.0008437009	0.0033786423	7.477717e-05	0.10640594
à	0.015185493	0.39738074	0.453386	0.04167342	0.03253034	0.003309939	0.000327832	0.0013661732	5.9592596e-05	0.00012684155	0.05465349
è	0.00025788738	0.0047300216	0.68459284	0.14104272	0.13083641	0.023538154	0.010491245	0.0025640642	0.0008028902	0.00013226664	0.0010114929
r	4.0770057e-05	0.007206676	0.40135828	0.44269836	0.12911159	0.005906203	0.006195385	0.0054930225	0.0010497423	0.00028464652	0.0006554095
k	0.12940444	0.028014598	0.098849304	0.50187624	0.22322649	0.004547719	0.0077831727	0.0007362718	0.0012481706	0.0003619748	0.003951703
u	0.11664108	0.112900145	0.1632733	0.33227304	0.17754789	0.05349348	0.03472242	0.003130619	0.0042935563	0.00016210481	0.0015623863
t	7.177284e-05	0.0001966967	0.38771477	0.40968558	0.15754661	0.01740423	0.015777145	0.0076681697	0.0011886801	0.0003688404	0.002377562
t	0.00080492435	0.029509323	0.007514303	0.311013	0.6298871	0.0011294944	0.0061366432	0.0048193163	0.0019269048	0.0010119409	0.006247046
e	0.039283972	0.07799925	0.15655515	0.08564651	0.3464209	0.050482273	0.06850376	0.10637113	0.0147906	0.0033380007	0.05060851
n	0.000104571234	0.00028792696	0.24430606	0.24517402	0.27648094	0.035775524	0.027351482	0.111594416	0.0036016058	0.0058596586	0.049463816
d	0.0016534965	0.0031360292	0.00933409	0.028062094	0.5352677	0.0035021838	0.0057710917	0.025629325	0.0019451967	0.020044958	0.36565384
i	0.014710884	0.0806173	0.030220686	0.18831053	0.36170366	0.067408785	0.101677194	0.085842885	0.038335964	0.0022201831	0.028951949
m	7.982064e-06	2.7676911e-05	0.07446844	0.06702118	0.15900075	0.025692249	0.019475901	0.18140925	0.0068650455	0.02785439	0.43817702
è	0.0010215559	2.1497099e-05	0.003976757	0.002506884	0.027344655	0.32851	0.059913084	0.038612556	0.028244192	0.03976949	0.47007933
n	0.0019460622	5.544391e-06	0.26625645	0.17179103	0.1886069	0.09042723	0.062301125	0.028783422	0.027407998	0.02931912	0.13315505
