 	mio	fratello	non	mi	ha	mai	scritto	una	lettera	</S>
a	0.9957054	0.0006870392	0.00070160185	0.00017181945	4.8737197e-06	1.7256638e-05	0.0002577149	2.3892413e-05	0.00012054264	0.0023098695
d	0.8498309	0.085749574	0.034395635	0.0035286124	0.00062444946	0.0002691159	0.0050623114	0.0014177557	0.0014289988	0.01769259
r	0.8466276	0.12774915	0.0055754376	0.0001244317	0.00074590236	0.0005330569	0.011202897	0.0011681559	0.005225615	0.0010476941
e	0.17776513	0.8152213	0.00033286997	0.0009964376	0.0006221909	0.00025415982	0.00013732772	2.5428551e-05	4.470238e-06	0.0046406626
f	0.13834293	0.76561344	0.0336286	0.026925448	0.005019167	0.0014718714	0.0012285168	0.00033371896	7.776047e-05	0.027358588
f	0.32078236	0.64014095	0.0061807674	0.0005461345	0.0049586766	0.0023401529	0.015941754	0.0016385831	0.006624356	0.0008463227
ò	0.062567316	0.9153546	0.0018192241	0.0009979502	0.0044218763	0.001120994	0.0005521168	0.00014353683	1.4258568e-05	0.013008161
m	0.00015977464	0.44329163	0.11524858	0.23745461	0.15208961	0.03654034	0.0064329156	0.0027810768	9.865261e-05	0.005902764
m	0.20308968	0.6568613	0.0051632123	0.060441677	0.03750099	0.025436524	0.006887623	0.0036251254	0.00093848206	5.5436572e-05
u	0.40253663	0.52735937	0.015277252	0.024999937	0.006820714	0.009744962	0.004023705	0.00048719696	0.00015739296	0.0085928645
e	0.00022803755	0.14244896	0.33174402	0.33192834	0.08915652	0.049182504	0.014789753	0.0017321972	8.5752064e-05	0.03870395
m	0.0002127919	0.014149447	0.37026432	0.38085583	0.119679675	0.05354837	0.034050554	0.013086901	0.00022539902	0.0139267035
o	0.34908146	0.14438286	0.269945	0.010943052	0.009578471	0.015678314	0.17479731	0.008079898	0.006559108	0.01095452
m	0.0026066932	0.0058085057	0.29106012	0.16684219	0.24954866	0.1572062	0.059381872	0.026806645	0.0026072948	0.038131822
a	0.08575795	0.031018868	0.46101278	0.008376908	0.0131083	0.02358761	0.29218408	0.013748396	0.01569503	0.055510134
i	0.0015377728	0.0021989609	0.26192272	0.08189732	0.22880492	0.16585845	0.102528356	0.036609694	0.010013667	0.10862818
g	0.001783398	0.0007925866	0.23959176	0.018225657	0.09563292	0.05889945	0.33310002	0.15197636	0.03552064	0.0644772
r	0.066530734	0.015830286	0.022905732	0.0013799012	0.16167313	0.117621094	0.2834036	0.18292636	0.11084546	0.03688376
a	0.5736226	0.017203098	0.002622571	0.0002446797	0.11099772	0.19913529	0.059844054	0.030812498	0.0038786307	0.0016388327
m	1.7248636e-05	1.3675225e-05	0.0018771536	0.0014032379	0.16027033	0.47180095	0.18527293	0.107296154	0.02889365	0.043154683
m	0.11425787	0.0031486263	0.0052456367	9.8770535e-05	0.022244943	0.031528603	0.4435537	0.11274802	0.23968804	0.027485786
è	0.00055551116	0.00044132618	0.17509536	0.00058697176	0.0062396955	0.009559488	0.08324316	0.004205046	0.011795311	0.7082781
n	0.0004447713	2.0213995e-05	0.027231416	0.003970293	0.1568917	0.26639012	0.1500288	0.054275196	0.04894332	0.2918042
a	0.31743172	0.020065775	0.006171196	0.0047663185	0.31159872	0.258612	0.02421103	0.047278874	0.006293347	0.0035710265
a	4.531519e-05	1.6139364e-05	0.00094552076	0.002320846	0.087463774	0.39294305	0.18542829	0.2201108	0.034449786	0.0762764
n	2.2288348e-05	2.2169274e-05	0.003929825	0.0023168945	0.03178623	0.05572618	0.42685357	0.24048223	0.13114625	0.107714444
g	0.026987296	0.0055892635	0.00019996917	0.0016020549	0.2494171	0.10888839	0.0145367235	0.530504	0.027819756	0.03445546
r	0.0641671	0.0015987643	0.00042740596	0.00083490787	0.1272371	0.4561028	0.06716229	0.26829743	0.01013685	0.004035328
à	0.56003505	0.024511777	0.00082898064	0.00012874117	0.011420877	0.06863417	0.21798876	0.06500564	0.045464832	0.005981245
m	0.0028244252	4.9729915e-06	0.00019420694	1.957261e-05	0.0036251748	0.023704858	0.08018413	0.0114000775	0.8600361	0.018006545
m	0.00071129156	0.00055790687	0.007774199	0.0219547	0.035805535	0.07834836	0.37049833	0.06865551	0.16053419	0.25516
a	8.255503e-05	2.2090668e-05	0.005034646	0.0055545974	0.066400796	0.06594949	0.025806895	0.3366015	0.08438579	0.41016155
</S>	1.7751836e-05	1.1785827e-06	9.798378e-05	0.0003900852	0.0047416603	0.035485193	0.03712708	0.15459551	0.115520775	0.65202284
