 	è	che	è	entrato	da	qui	</S>
è	0.99478924	0.00023167467	1.2143203e-05	3.388756e-05	1.622614e-05	0.00025847642	0.0046582054
n	0.47894156	0.3196656	0.051202793	0.1454046	0.0022205152	0.00011327289	0.002451602
a	0.24048056	0.60000473	0.059597667	0.086539485	0.012462422	0.00044390568	0.0004712602
m	0.0013225304	0.30142727	0.36291584	0.3276705	0.005453883	5.166743e-05	0.0011583556
b	0.16851118	0.04023032	0.014338732	0.5419489	0.23388922	0.0006908168	0.00039083295
ì	0.009329867	0.086550005	0.88537	0.01331225	0.0026059547	0.00020787025	0.0026240614
k	0.059780683	0.0024347743	0.02450601	0.009740068	0.08710481	0.009800679	0.806633
e	0.042769767	0.058126274	0.39484462	0.13082083	0.32302535	0.046702646	0.003710499
a	0.0020256855	4.957719e-05	0.02901976	0.44715014	0.47889963	0.010662276	0.03219303
p	6.387545e-05	3.713798e-06	0.0040035206	0.05802715	0.19928633	0.7260264	0.012588971
ò	0.0024836883	0.00015817508	0.011905787	0.057290718	0.09002499	0.82752836	0.010608264
t	0.0007579452	1.5356098e-07	3.3021206e-05	0.0024679743	0.19734839	0.76922315	0.030169405
t	0.0025750156	0.00015956593	0.0017102568	0.070383	0.21978234	0.70187163	0.003518253
u	0.49707678	0.0030393722	0.007953269	0.02683785	0.028198488	0.29514164	0.14175262
</S>	0.00069482066	1.3235747e-07	4.5340475e-06	8.7996e-05	0.01240826	0.22264463	0.7641596
