 	può	che	sono	ancora	svegli	</S>
i	0.50559247	0.048393674	0.017366176	0.20288278	0.00039411098	0.22537082
s	0.9723704	0.0008154487	0.00015872593	0.003094216	0.020102704	0.0034585712
ò	0.9965389	0.00065881637	0.00020050604	0.0016081925	0.0008355088	0.00015807243
z	0.67586994	0.19236398	0.13145517	0.00013038944	9.9487515e-05	8.10883e-05
i	0.012913001	0.92282426	0.054173987	0.010074174	4.190477e-06	1.0464644e-05
k	0.01638809	0.6608083	0.30959916	0.01181622	0.0007869126	0.00060130167
a	0.006009246	0.71538216	0.27276823	0.005498231	5.0144503e-05	0.00029192516
ì	0.0050751693	0.13323529	0.844924	0.016300775	0.00011874305	0.0003460539
n	0.0015132438	0.08083923	0.32545877	0.51118374	0.06821986	0.012785176
e	0.003441134	0.2729984	0.6506534	0.05669308	0.0038861812	0.012327739
a	0.00094655994	0.002367121	0.13869613	0.8544157	0.0016528051	0.0019216443
n	0.00014329584	0.010064445	0.117612086	0.4480755	0.31705412	0.107050546
k	0.018582994	0.0010147772	0.0068461355	0.021683728	0.521279	0.4305934
ò	0.65135705	0.017927282	0.2929747	0.016075226	0.0009520948	0.020713637
r	4.044244e-05	4.047535e-05	0.009117813	0.935253	0.03539205	0.02015615
a	0.00042019202	0.013687203	0.064901434	0.8253334	0.044170193	0.0514875
a	8.022056e-06	1.0704274e-05	0.00029361225	0.98578227	0.008235938	0.0056694644
t	3.2839343e-06	5.7602887e-05	0.0007767622	0.18722457	0.7154412	0.096496575
s	0.033103894	0.010332907	0.009979686	0.008790695	0.6516609	0.28613186
ù	0.91859627	0.009270656	0.03497495	0.00984978	0.0010297458	0.026278483
n	4.172649e-05	3.7150516e-05	0.0014815964	0.5514204	0.20807794	0.23894121
n	0.00035242486	0.0047047106	0.0042000003	0.02881016	0.36690485	0.59502786
i	0.24704844	0.012891924	0.020107506	0.15247294	0.007892744	0.55958647
t	5.3992793e-05	1.8056168e-06	1.0345283e-05	0.16804561	0.76743853	0.06444974
i	0.00020212488	0.06582094	0.015462494	0.01204581	0.027136132	0.87933254
</S>	4.5458604e-05	8.819384e-05	0.0018140703	0.06948194	0.056297995	0.8722723
