 	è	che	stanno	ancora	svegli	</S>
è	0.9754285	0.0010919853	0.00037307947	0.009878841	3.9346352e-05	0.013188361
n	0.8031227	0.14831904	0.043139007	0.0011958752	0.0033869639	0.0008363512
a	0.7881353	0.20236343	0.008775312	0.00053758814	1.761209e-05	0.00017084337
s	0.01734557	0.72920686	0.2527375	0.0004457658	0.00011152932	0.00015282242
t	0.27380845	0.58981633	0.13290797	0.0031862687	6.208534e-05	0.00021896577
a	0.05101882	0.50795776	0.42818826	7.517065e-05	9.464821e-06	0.01275063
t	0.0030740534	0.09064243	0.7205789	0.022353286	0.08571585	0.07763542
ù	0.006362705	0.27228898	0.6374379	0.027092362	0.007771491	0.04904657
n	0.00591639	0.011538063	0.45367765	0.5002206	0.017415714	0.011231631
e	0.032441195	0.1358187	0.77865946	0.03888364	0.0048305686	0.009366422
a	0.0049440013	0.0008344964	0.12759922	0.8623598	0.001664643	0.0025977425
n	0.00017194451	0.001032176	0.08432831	0.49247527	0.3132871	0.10870517
k	0.007127452	0.0008904796	0.016245037	0.020053742	0.54936755	0.40631574
ò	0.40223062	0.011146061	0.55180377	0.017649116	0.00066630985	0.016504122
r	0.00015982472	4.3243554e-06	0.0030933805	0.9574164	0.028149191	0.011176819
a	0.0015756913	0.0076211044	0.14911811	0.71316373	0.05940968	0.06911172
a	0.00014822588	2.5694656e-06	0.00023827872	0.9831624	0.009173988	0.0072744824
t	2.000556e-06	4.406092e-06	0.00018947729	0.18527853	0.74503654	0.069488965
s	0.022494275	0.0050652875	0.0058398675	0.010420767	0.66306686	0.29311296
ù	0.87345177	0.011424358	0.05560059	0.012104123	0.0014901272	0.045928992
n	0.00013397352	7.8148405e-06	0.00080885884	0.5512176	0.21715167	0.23068003
n	0.00024451333	0.0023708164	0.008081987	0.024135059	0.37691742	0.5882502
i	0.63883823	0.0041296994	0.0073574088	0.06230548	0.0031022897	0.28426698
t	0.0004483906	5.6910727e-07	3.1000322e-06	0.17949252	0.7818707	0.03818473
i	0.0018675359	0.015942289	0.008458681	0.009937184	0.022611924	0.9411824
</S>	0.00010047391	1.8192408e-05	0.00074392266	0.07117585	0.046290167	0.8816714
