 	che	non	li	aspetiamo	</S>
n	0.99190545	0.006890177	0.00011087729	3.935444e-05	0.0010540512
a	0.05983882	0.2462114	0.20965144	0.05542349	0.42887488
m	0.008930781	0.6111052	0.30494782	0.013495543	0.061520677
i	0.041336223	0.4601181	0.45607552	0.041047584	0.0014226246
t	0.0026137428	0.35629725	0.4076907	0.02781856	0.20557971
u	0.025647258	0.16606452	0.43167198	0.24956764	0.12704861
s	0.0001860084	0.27059913	0.6387239	0.06610401	0.0243869
m	0.0015578574	0.020285536	0.28905904	0.5506357	0.13846183
ì	0.011962933	0.017203629	0.014706114	0.01802401	0.9381033
n	0.0104948385	0.116275735	0.15355198	0.00923836	0.71043915
o	0.93899786	0.032319132	0.018342374	0.008112531	0.0022280756
m	0.00014575347	0.026692314	0.7152428	0.13814256	0.11977661
e	0.00017226885	0.1394793	0.25193977	0.09376809	0.5146406
</S>	1.0391373e-05	0.0009697502	0.18776424	0.17553432	0.63572127
