 	devo	pulire	l	albero	</S>
è	0.2622038	0.0053443327	0.009109479	0.015486628	0.7078558
n	0.5640247	0.4318965	0.003035248	4.044811e-05	0.0010030782
a	0.20772575	0.38855356	0.38225755	0.005868447	0.015594678
k	0.00592481	0.967817	0.024579996	0.0013878642	0.0002903715
a	0.06129209	0.4366326	0.49241617	0.008904387	0.0007548098
t	0.010817615	0.724238	0.24827208	0.014203477	0.0024688868
à	0.0015547979	0.55794805	0.40619677	0.031085685	0.0032147628
r	0.00020931283	0.09655362	0.6935635	0.18575548	0.023917994
o	0.0059496723	0.40661782	0.46967542	0.11079423	0.0069628404
t	0.00045452538	0.0011070102	0.5931785	0.38055214	0.024707811
o	0.00028296726	0.056370188	0.5733018	0.35761958	0.012425509
n	0.00027673284	0.001874016	0.7175204	0.20867941	0.071649425
à	6.3443076e-06	0.00083173317	0.03829878	0.9597026	0.0011605012
r	1.6177619e-05	9.3470373e-07	0.0087491255	0.9673498	0.023883846
b	0.00042561532	0.014993152	0.15666904	0.81293356	0.014978575
u	0.0014097539	0.0031250252	0.102671444	0.7924745	0.10031923
r	7.490872e-05	1.6746479e-07	0.0001707172	0.848484	0.15127024
o	4.4015105e-06	0.00043634424	0.011115706	0.97895765	0.009485862
</S>	6.095153e-06	1.2800216e-05	0.002526636	0.14802958	0.8494249
