 	dopo	Giovanni	é	tornato	a	casa	</S>
d	0.9708446	0.0005212509	0.00010835987	7.6594726e-05	0.00014929424	0.0005495249	0.027750362
ò	0.81033325	0.18660298	0.002655187	2.3432554e-05	3.9944673e-05	1.8215595e-05	0.0003267677
p	0.009378127	0.9802681	0.010310826	1.7499104e-05	1.4759543e-06	8.4432354e-09	2.384201e-05
u	0.99448264	0.0052469308	4.0119994e-05	0.0001664716	6.282767e-05	9.907329e-07	6.6540636e-08
o	0.0030471291	0.9711382	0.025362559	0.00032924846	1.7028155e-05	2.08896e-08	0.00010586749
G	0.0041897837	0.8279025	0.16245328	0.004748879	0.0005969533	5.133207e-06	0.00010349372
i	0.22752424	0.74323577	0.025142899	0.0011253835	0.0022955206	4.3941665e-05	0.0006321363
o	0.0126290005	0.92247695	0.06003362	0.0016121757	6.198328e-05	8.0609243e-07	0.003185453
v	0.00188659	0.50516766	0.4749311	0.016380887	0.0010243683	5.000151e-05	0.00055946695
à	0.07791181	0.793063	0.11856736	0.0032569128	0.006393862	0.00014846592	0.000658605
n	0.00041568902	0.23117109	0.7564804	0.010639096	0.00071173505	7.3235184e-05	0.0005088137
n	0.07013265	0.031047892	0.056795098	0.4881404	0.33808556	0.015527945	0.0002703969
i	0.76683223	0.0018403305	0.021768158	0.16349038	0.008095587	0.0018209371	0.03615236
j	0.005990662	0.017614258	0.07138473	0.7133042	0.16006446	0.001000765	0.030640936
ù	0.7636652	0.03876943	0.08755604	0.048696656	0.03985821	0.004713416	0.016741063
r	0.0013508298	0.011848654	0.16781686	0.6401192	0.12810512	0.016488852	0.03427048
i	0.090544574	0.0010355018	0.012447193	0.59524953	0.25299424	0.041088678	0.006640285
s	0.0010975496	0.0014212696	0.0076741236	0.2978278	0.5883178	0.008558582	0.0951028
e	0.027545309	0.0007718782	0.0019803396	0.59464043	0.28514308	0.07710347	0.012815467
è	0.00049798534	0.0005129875	0.0011810876	0.1627949	0.7364915	0.031587947	0.06693361
s	6.1850974e-06	1.0874513e-06	0.0020050327	0.0041083065	0.03702358	0.94815564	0.008700126
s	0.008275171	0.00032679507	0.001682565	0.121976964	0.4357359	0.42876428	0.0032382314
u	0.25870183	0.00040750694	0.0031542461	0.025375746	0.35125914	0.14690831	0.2141932
</S>	7.814731e-05	3.4223485e-05	0.000883272	0.00298025	0.17063248	0.17390303	0.6514886
