 	ho	scritto	una	lettera	al	mio	fratello	</S>
è	0.98798484	0.0077232225	3.9604714e-05	0.00033861914	4.9487342e-05	0.00021291661	0.00024359893	0.0034076439
g	0.2845368	0.5503752	0.121201746	0.011627899	0.018037347	0.0058348486	0.00012712518	0.008258943
r	0.67027164	0.233621	0.034473125	0.03513365	0.012886866	0.011751518	0.001758005	0.000104231236
a	0.842234	0.15134305	0.005885845	0.00039699738	3.274888e-05	4.2166917e-06	2.2039502e-07	0.000102944956
t	0.0029262768	0.14253552	0.68033624	0.0790917	0.07660819	0.00827898	4.640348e-05	0.010176713
s	0.24422947	0.2253181	0.33863702	0.09260996	0.053186152	0.044073656	0.001769784	0.00017584625
a	0.0043431916	0.8893122	0.0201238	0.047579665	0.0022245783	0.00033459446	2.654822e-05	0.036055375
è	0.00023124789	0.157058	0.5649162	0.12696816	0.04521099	0.0039318046	0.00028777085	0.10139588
n	0.0002420595	0.0185508	0.6579232	0.18894337	0.10866902	0.017132444	0.0007139785	0.00782507
a	0.1384072	0.08987056	0.34462112	0.20199299	0.073301055	0.06427507	0.076971136	0.010560884
n	0.00039961276	0.028249312	0.1979134	0.46785435	0.21667196	0.07989969	0.005372526	0.0036391385
g	0.06996857	0.003809677	0.59916574	0.05669161	0.08066161	0.069059774	0.119431175	0.0012117889
r	0.18503247	0.023290196	0.15217616	0.18844028	0.30211332	0.133075	0.008648115	0.007224365
à	0.2151991	0.12433525	0.049797364	0.51612306	0.07386821	0.01425112	0.0013085937	0.005117333
m	0.0010309074	0.000660232	0.006750924	0.6542821	0.048498534	0.043652058	0.23252548	0.012599736
m	0.004539172	0.009259156	0.10541669	0.2664877	0.17767304	0.11013581	0.31546828	0.0110202115
a	0.001571075	0.013961356	0.33267698	0.061773747	0.11961471	0.05842647	0.044966564	0.36700913
u	3.00112e-05	7.6598655e-05	0.00959065	0.15825646	0.38469058	0.12731443	0.13088918	0.18915212
d	5.486168e-06	6.5040316e-05	0.002043386	0.044441197	0.5905025	0.26787898	0.057090085	0.037973303
e	0.0117717115	0.00017439065	0.019086817	0.012564974	0.33625543	0.42242467	0.14426467	0.05345739
r	2.9047664e-05	0.0001135057	0.0027352448	0.045229115	0.38916382	0.3992908	0.107787624	0.055650778
f	0.013355639	0.00012855312	0.02620166	0.0020509188	0.07374077	0.19734839	0.68312544	0.004048677
ù	0.21695894	0.0020501853	0.009008488	0.008432629	0.1639254	0.56661445	0.021980468	0.011029438
m	0.0012966371	9.154937e-06	7.716674e-06	0.003289957	0.002018406	0.008520049	0.97263145	0.012226558
m	0.00024892486	9.977816e-05	0.0034452614	0.008683826	0.054303367	0.042126123	0.76318437	0.12790836
u	1.1775458e-05	3.0279381e-05	0.0025982514	0.0078017297	0.18820584	0.19548976	0.41078568	0.19507666
</S>	5.02603e-06	1.0155023e-06	4.171801e-05	0.00078829436	0.014475485	0.06394529	0.45383888	0.46690425
