 	l	ho	sentito	che	veniva	</S>
o	0.99037385	0.00199068	3.1987263e-05	3.1403837e-05	1.1559592e-05	0.00756061
n	0.6657782	0.2773074	0.029342625	0.0048418287	0.005274238	0.01745562
ì	0.0060892836	0.034285158	0.08105066	0.07587989	0.6121392	0.19055578
k	0.0058591026	0.52008873	0.45614827	0.0133172795	0.0015172267	0.0030693572
u	0.47781038	0.51288563	0.0049388492	0.004125593	0.00023777504	1.7860486e-06
s	0.00031175607	0.84937876	0.13174029	0.013953283	0.0012439924	0.0033719896
a	0.032609805	0.4481253	0.2985461	0.21800949	0.0015700678	0.0011392689
k	0.005981052	0.41324455	0.2557455	0.3068008	0.0078040436	0.01042405
a	0.009235757	0.053597968	0.54645944	0.35297158	0.030318229	0.0074170176
è	0.0035563703	0.017067434	0.077811874	0.7717848	0.078674175	0.051105298
r	9.956354e-06	5.5227036e-05	0.0019515287	0.0076230173	0.98565674	0.0047034957
k	0.08473113	0.05927741	0.29672348	0.30879527	0.24071293	0.009759734
a	0.01778782	0.02299672	0.030498458	0.75691205	0.013973402	0.1578315
t	0.0016027732	9.372549e-06	2.6014979e-05	0.003400969	0.65941775	0.33554313
o	0.4111545	0.021353332	0.004543529	0.053712305	0.47119376	0.038042597
</S>	9.0617716e-05	8.146678e-06	0.0002970178	0.01636077	0.09269629	0.89054716
