 	mia	figlia	vuole	andare	</S>
i	0.96628463	0.02460582	2.9915547e-05	9.73268e-05	0.008982213
k	0.131607	0.62004304	0.08459209	0.01050248	0.15325531
i	0.36423245	0.1447821	0.052776843	0.077140264	0.3610684
a	0.05263376	0.93484634	0.0077222344	0.00031195825	0.004485711
t	0.017878374	0.31420103	0.36162665	0.07245807	0.2338359
è	0.10050678	0.07157002	0.3209054	0.35487518	0.1521427
r	0.0007828028	0.7075243	0.28383523	0.0032413988	0.004616296
a	0.09878374	0.86383843	0.026276253	0.010763835	0.00033774288
m	3.4843197e-05	0.98918366	0.00996335	0.0006283063	0.00018982391
u	0.15222149	0.6878242	0.14599359	0.009234789	0.0047259643
i	6.749378e-05	0.8100683	0.17239596	0.0042418744	0.013226404
t	1.6866063e-05	0.03481597	0.9035286	0.032310903	0.029327607
è	0.0075222654	0.0007576124	0.50455433	0.30390906	0.18325676
l	1.883099e-05	0.022702528	0.86302793	0.10341333	0.010837334
i	0.010046909	0.14538671	0.45948896	0.36020827	0.024869107
n	0.00015227518	0.06931062	0.34301987	0.54537797	0.04213928
a	0.0449383	0.0046100193	0.14283782	0.8055094	0.0021044936
p	0.00028683792	0.014459469	0.2006155	0.62729514	0.15734306
à	0.03868436	0.0005559448	0.06391381	0.88822997	0.008615985
i	0.0014029826	0.0027142751	0.019770391	0.8987815	0.07733086
</S>	6.645242e-06	0.0004513338	0.070302844	0.704414	0.22482511
