 	vengono	vestiti	</S>
è	0.993652	0.005762098	0.00058580836
r	0.9843015	0.009857373	0.0058411774
k	0.21656758	0.78160846	0.0018239925
u	0.5954212	0.17742847	0.22715035
t	0.06592231	0.81147057	0.12260712
t	0.028003348	0.9460422	0.025954498
e	0.0011676893	0.026716348	0.97211593
n	0.0008759184	0.5164542	0.4826699
d	0.0012476831	0.8910307	0.107721634
i	0.28430995	0.099972025	0.61571807
m	0.00043217375	0.08752329	0.9120445
è	0.059845794	0.37752345	0.5626307
n	0.01298902	0.27169076	0.7153203
a	0.23137663	0.68272305	0.08590032
</S>	0.00409105	0.008074607	0.98783433
