 	è	che	sono	usciti	</S>
è	0.99844295	0.00012531212	1.2935191e-05	3.7512946e-05	0.0013812355
n	0.20132732	0.6943693	0.083972074	0.0040021976	0.016329067
a	0.50166154	0.39208394	0.082230136	0.019778993	0.0042453846
g	0.0032402761	0.52740663	0.42782092	0.010711222	0.030821014
u	0.8903071	0.06388482	0.03947088	0.0024780163	0.0038592136
ì	0.0034808703	0.08359281	0.7016423	0.060729608	0.1505544
k	0.005278739	0.004170044	0.27994737	0.375452	0.33515188
a	0.39649048	0.10657423	0.34865445	0.10478311	0.04349772
n	0.0016083616	0.000110178655	0.1871369	0.32098973	0.49015483
e	0.1523536	0.0051264516	0.78096855	0.048503637	0.013047652
</S>	0.0011399669	2.2996215e-05	0.09740978	0.2990087	0.60241854
