 	possono	essere	ancora	svegli	</S>
i	0.55119216	0.21394809	0.19417323	8.947447e-05	0.040596932
s	0.6824781	0.004545737	0.027274482	0.25002408	0.03567769
ò	0.94865596	0.0171494	0.016545689	0.013682119	0.003966777
z	0.16167077	0.8374861	0.00045854267	0.00019899824	0.00018560213
o	0.0017848489	0.98635304	0.011838725	8.103615e-06	1.531234e-05
n	0.006920587	0.96686983	0.022564271	0.0024038893	0.0012414823
e	0.0035125855	0.9933641	0.0013702038	0.0006768474	0.001076127
ì	0.008904878	0.9300408	0.06012602	0.00036703664	0.00056125177
n	0.0006787686	0.21194951	0.61682034	0.1531926	0.017358804
e	0.0029685595	0.77602786	0.11971462	0.028444694	0.07284427
a	0.0017034452	0.029899403	0.9610058	0.0037177987	0.0036734971
n	8.9718735e-05	0.005905282	0.22393559	0.61549747	0.15457189
k	0.0039979797	0.0009128663	0.012614897	0.57339734	0.40907687
ò	0.91743165	0.04909905	0.006603199	0.001257726	0.025608359
r	4.6548346e-05	0.00019118066	0.91097456	0.06594325	0.022844525
a	0.0001772342	0.01275155	0.80849284	0.10051205	0.07806632
a	1.2635514e-05	4.701684e-05	0.96692073	0.021824583	0.011195001
t	5.363366e-06	3.7436712e-05	0.07728375	0.8633496	0.059323806
s	0.03621129	0.017213937	0.005056657	0.5769374	0.36458078
ù	0.95918137	0.023256306	0.001512562	0.0004448203	0.015605038
n	8.579043e-05	0.000115645074	0.37149617	0.36666268	0.2616397
n	0.0002841724	0.002502591	0.014199873	0.42327225	0.5597411
i	0.30442202	0.08841849	0.09317068	0.0037076157	0.5102812
t	0.00026047192	1.3108839e-05	0.120926544	0.8401095	0.038690303
i	0.00037027049	0.026436243	0.0052438728	0.019373905	0.94857574
</S>	9.621357e-05	0.0003953424	0.05840384	0.04082056	0.90028405
