 	nella	pasta	vuole	sale	</S>
s	0.9739585	0.003613282	3.2654272e-05	0.00017397906	0.0222217
t	0.9606501	0.004717882	0.0016415236	0.023654304	0.0093361605
i	0.68324107	0.024548847	0.011217378	0.034127064	0.24686557
p	0.8950237	0.08615935	0.014406959	0.0021966635	0.0022133854
à	0.038647592	0.04042284	0.032845747	0.8718129	0.016270973
s	0.0019454496	0.83052814	0.16687179	0.00045969067	0.00019494984
t	0.20173794	0.52756435	0.19094795	0.079677194	7.2603834e-05
a	0.028654737	0.9261598	0.006424964	1.9738138e-05	0.038740657
t	0.0001436897	0.45345286	0.52084464	0.00768635	0.017872496
è	0.0062035946	0.09608005	0.25935817	0.63210773	0.0062504495
l	0.00029730579	0.039971504	0.6011957	0.29056984	0.067965634
i	0.007193567	0.051148973	0.6883141	0.25139445	0.0019489567
à	0.00043187637	0.0024432277	0.40178284	0.5210291	0.074312925
l	1.1305536e-05	4.6717312e-05	0.016609792	0.97574824	0.0075839744
a	2.4681042e-06	0.00038306194	0.13023283	0.8677382	0.0016434927
</S>	1.3444821e-05	8.880067e-05	0.05852562	0.45866048	0.4827116
