 	è	facile	che	stanno	ancora	svegli	</S>
è	0.951676	0.0014442032	0.0004191637	0.00039925464	0.014029004	0.0002845917	0.031747695
f	0.104735866	0.8935023	0.0010624154	0.00049116526	4.3662003e-05	0.00010878728	5.596739e-05
à	0.3105824	0.6091634	0.07569788	0.00423519	0.00022102185	1.2948295e-05	8.7067514e-05
c	0.0006759603	0.9922192	0.0053431294	0.0017213332	8.476008e-06	1.370734e-05	1.8115825e-05
i	0.053281575	0.80551344	0.1112424	0.008749776	0.020902535	0.00021244683	9.7818556e-05
l	0.0023439098	0.9535745	0.025815347	0.016942445	0.0005576448	0.00013861609	0.0006276
e	0.17683388	0.48010716	0.28012028	0.06232317	0.0002537013	4.5457142e-05	0.00031634487
k	0.009100911	0.059075564	0.21448502	0.71025616	0.004388105	0.0003897712	0.0023044967
a	0.004153455	0.02753961	0.8507753	0.11333779	0.0011726151	0.00065477076	0.0023664446
s	0.0041062287	0.0035687392	0.079264745	0.88541955	0.024906069	0.00054519076	0.0021895403
t	0.0044076643	0.020724623	0.72729516	0.2350001	0.0014991639	0.0028807756	0.008192509
è	0.12975536	0.004287837	0.10867952	0.7397733	0.00035116996	3.6717527e-05	0.017116096
o	0.0010784896	0.0013429541	0.011260407	0.1448878	0.7831519	0.037480514	0.02079783
n	4.944464e-05	0.009292442	0.007917955	0.017772984	0.12641972	0.7110597	0.1274878
e	0.18116303	0.030745303	0.21043248	0.45524582	0.011236499	0.019064508	0.09211243
a	0.00085989526	0.0006543641	0.0015719341	0.22899939	0.7583207	0.0019983395	0.0075953803
n	2.2544573e-05	0.00034267947	0.011911406	0.06990598	0.3138427	0.3811259	0.22284883
k	0.015912179	0.012868301	0.0052879658	0.005402767	0.0069033448	0.4136755	0.5399499
ò	0.5018214	0.015911885	0.011907385	0.44286406	0.014366655	0.00045787886	0.012670665
r	7.691542e-05	1.6129237e-05	2.3901137e-05	0.0033398701	0.95443135	0.029474927	0.012636928
a	0.00071685255	0.00025260367	0.024093742	0.1750078	0.4381754	0.10647259	0.25528106
a	7.9615456e-05	7.863465e-05	7.193151e-05	0.0023653202	0.9655786	0.01118321	0.020642618
t	1.3323094e-06	4.2588163e-05	0.00022895556	0.00068571145	0.15312153	0.72983867	0.11608117
s	0.061398692	0.022135483	0.01875283	0.003352892	0.013033533	0.56642115	0.31490535
ù	0.8633044	0.037273955	0.008442526	0.04174086	0.0130664855	0.0011869274	0.034984883
n	7.8397126e-05	9.312384e-05	0.00011340593	0.002539969	0.5950828	0.15365952	0.2484328
n	7.0953545e-05	0.00024711006	0.008756607	0.009010668	0.020172596	0.26866204	0.69308
i	0.32283404	0.04497699	0.0062168282	0.010860964	0.09519318	0.007147253	0.5127708
t	0.00037901948	1.4665756e-05	2.0103173e-06	1.14518925e-05	0.27538973	0.6536718	0.070531346
i	0.00057132734	0.00010940571	0.057251994	0.019578924	0.016964119	0.020036563	0.8854877
</S>	5.3029064e-05	0.0005561454	0.00040786897	0.001904384	0.05685232	0.0371282	0.90309805
