 	ho	finito	di	scrivere	</S>
s	0.9962075	0.001027584	4.9210605e-05	2.5015206e-05	0.0026906491
p	0.770096	0.050700635	0.0577115	0.07028015	0.051211745
ì	0.004205716	0.8505942	0.013287816	0.0017382223	0.13017404
c	0.012882087	0.9586196	0.010224724	0.010616923	0.007656654
c	0.3081095	0.66070515	0.023553506	0.00726416	0.0003676815
e	0.11390423	0.16925468	0.22049238	0.45427984	0.042068843
t	0.004943065	0.68856424	0.23349175	0.011577908	0.061423082
s	0.03114357	0.6527073	0.2981821	0.0019869795	0.015980009
a	0.011253163	0.78802186	0.144298	0.0003202956	0.056106653
à	0.00029726783	0.03373797	0.520507	0.057382997	0.38807476
t	0.0007223462	0.006985683	0.48841166	0.45914957	0.044730674
s	0.21010853	0.079658166	0.6360882	0.029718203	0.044426918
e	0.17403835	0.0076245107	0.4021124	0.0053906557	0.410834
g	0.00033197412	0.00010067716	0.6083252	0.059877656	0.3313645
r	0.015405024	0.0034673025	0.18561845	0.16543171	0.63007754
à	0.39038402	0.005048573	0.30132568	0.003978734	0.29926303
t	0.0061395545	1.3668783e-06	0.00087264617	0.9768809	0.016105626
s	0.15763582	0.0016463848	0.11041556	0.38194013	0.34836215
i	0.17222354	0.002850653	0.018338336	0.003842838	0.8027447
</S>	0.00086458353	9.512259e-07	0.00068843656	0.28223726	0.71620876
