 	non	sono	andati	</S>
e	0.8430343	0.0017044798	0.005196578	0.15006459
n	0.98387283	0.015159609	0.00042388847	0.0005436976
è	0.031426232	0.24028148	0.037437487	0.69085485
c	0.046399456	0.94781345	0.0030691952	0.0027178677
h	0.65876377	0.28094742	0.059586808	0.00070207973
u	0.7533884	0.22036734	0.0028520338	0.02339215
n	0.39306793	0.52127033	0.050675485	0.034986254
e	0.0011096365	0.639172	0.32604587	0.033672467
p	0.19034319	0.40466368	0.25617513	0.14881791
a	0.0011086459	0.26559407	0.70055056	0.032746762
m	0.15123926	0.04104316	0.51714873	0.29056883
è	0.019587282	0.044179313	0.3196922	0.6165412
n	0.036652178	0.000111953035	0.72074026	0.24249563
a	0.006408164	0.057299748	0.9093509	0.026941247
</S>	0.009796132	0.00024011203	0.19761737	0.7923464
