 	che	non	li	aspettiamo	</S>
n	0.9862037	0.011516712	9.566437e-05	5.9005048e-05	0.0021248271
a	0.058798224	0.29986873	0.26905125	0.043486908	0.32879484
m	0.007442371	0.6080665	0.33551276	0.008225617	0.04075276
i	0.030056577	0.569323	0.37708092	0.02242623	0.0011133496
t	0.0018682271	0.34340763	0.48481008	0.011976539	0.1579375
u	0.016385159	0.152047	0.57982326	0.15532185	0.0964228
s	0.00015576542	0.29017973	0.65397424	0.032982476	0.02270785
m	0.0012328997	0.019201126	0.41599792	0.4623035	0.10126457
ì	0.015743146	0.020485014	0.027823348	0.011728441	0.92422
n	0.0074416203	0.13707279	0.120787434	0.013064773	0.7216333
o	0.9215815	0.04245252	0.01875185	0.01398151	0.0032326388
m	0.00014641222	0.03625573	0.6411325	0.164837	0.15762843
e	0.00014364318	0.15276976	0.27071998	0.08613458	0.49023196
</S>	8.440222e-06	0.0010594793	0.20631036	0.16345201	0.6291697
