 	nella	pasta	metti	sale	vuole	il	sale	</S>
s	0.8847005	0.006444993	0.000175285	0.00014872498	0.0005397742	0.0154319	0.004569703	0.08798922
t	0.90612304	0.007632176	0.008402391	0.068108715	0.0010550644	0.0017661381	0.0009909787	0.005921517
i	0.7851031	0.03164467	0.035039224	0.057976373	0.012714831	0.010185285	0.024666555	0.042669956
p	0.8729887	0.090808325	0.025288884	0.007632482	0.00032835818	0.0002711537	3.645991e-05	0.002645593
à	0.03969262	0.058345653	0.1800344	0.68135774	0.013759348	0.007953551	0.015602313	0.0032543817
s	0.0037059365	0.83256406	0.16170342	0.0018200927	0.00015139005	9.605649e-06	9.697411e-07	4.4457982e-05
t	0.124385156	0.3305785	0.27321967	0.16841674	0.09847056	0.002984704	0.0019235874	2.115357e-05
a	0.10125255	0.87864876	0.001797751	0.00014559375	8.6924396e-05	3.4799697e-05	1.2451856e-06	0.018032476
v	0.00030039228	0.48052055	0.4922033	0.021023415	0.002856328	0.0003594954	6.023326e-06	0.002730452
à	0.005765488	0.11334412	0.22807904	0.5552262	0.062380485	0.017534109	0.015662491	0.0020081096
l	9.108692e-05	0.08936626	0.77880096	0.07600133	0.047578055	0.0027791257	0.0007340118	0.0046491427
e	0.0036617804	0.04769854	0.20038183	0.24895187	0.46692488	0.01717033	0.015058148	0.00015266049
à	0.00026809616	0.0031366774	0.10806174	0.454034	0.3987788	0.028816229	0.0020249304	0.0048795217
l	1.8166339e-06	0.00025239008	0.19107382	0.6044257	0.19067064	0.008132545	0.004388744	0.0010543653
a	3.7701877e-06	0.00029433955	0.08909579	0.5220681	0.326105	0.020225424	0.04218184	2.5781786e-05
e	6.416837e-06	9.472312e-05	0.027068034	0.2126138	0.66571856	0.05129395	0.02483306	0.018371478
t	7.0160204e-06	0.00037137745	0.038427964	0.123855844	0.6584267	0.089810036	0.08098961	0.008111463
è	0.01563296	0.008778743	0.20757817	0.21345693	0.26957572	0.09133923	0.18909846	0.00453977
l	1.3032376e-06	5.975298e-06	0.0018349963	0.02539032	0.6502095	0.10880821	0.20755345	0.006196194
i	0.00080611603	0.0008948298	0.0057027834	0.007080861	0.5729872	0.049566634	0.35267457	0.010286947
t	3.5616572e-06	2.8152465e-06	0.0007495213	0.0022927413	0.1784119	0.3861406	0.38172266	0.05067629
à	0.017145395	0.0012801604	0.011224971	0.008122654	0.2112055	0.060298316	0.6887141	0.0020089836
l	2.551383e-06	1.6174968e-07	7.888111e-06	4.6473488e-05	0.014803921	0.0231144	0.9157062	0.04631844
a	0.00029677962	0.00023390054	0.0024523137	0.000660909	0.09445054	0.027566504	0.8431582	0.031180888
</S>	4.409356e-06	3.7820612e-06	0.0011793474	0.0014313618	0.02960859	0.17203562	0.45318547	0.34255144
