 	viene	fabbricato	</S>
è	0.8357592	0.16132241	0.002918391
r	0.97839224	0.012827815	0.0087799495
k	0.033129897	0.9660552	0.0008148961
e	0.109864615	0.46272135	0.42741403
t	0.0033953132	0.97501886	0.021585772
e	0.039614547	0.93147254	0.028912913
f	0.15157257	0.7769585	0.07146893
a	0.016755383	0.97580975	0.007434876
b	0.029040018	0.833783	0.137177
b	0.20847982	0.7639982	0.027522013
r	0.5958037	0.026325151	0.37787113
i	0.003703296	0.5511505	0.4451462
k	1.8855497e-05	0.03884174	0.96113944
à	0.004876782	0.5010839	0.4940393
t	0.0010443275	0.95177567	0.047180016
o	0.43125823	0.3963541	0.17238763
</S>	0.00079112785	0.041855093	0.95735383
