 	vuole	andare	a	Lecce	</S>
i	0.9843724	0.0016094957	5.1372197e-05	0.000112455295	0.013854261
t	0.8149304	0.0838774	0.030778138	0.044031743	0.02638236
è	0.022791596	0.018416576	0.030486675	0.91779935	0.010505745
l	0.6190209	0.35889444	0.013959805	0.0042160805	0.0039088526
i	0.4217715	0.57035893	0.005310649	0.0025548916	4.109565e-06
n	0.008913176	0.94836223	0.041579805	0.0007532182	0.00039173194
a	0.18561827	0.73407185	0.015260051	0.06495297	9.6992706e-05
p	0.014557191	0.87110186	0.10500081	0.00891719	0.00042300756
à	0.029121613	0.66099954	0.044614673	0.2650203	0.00024384308
i	0.00073374866	0.010661213	0.023956306	0.9604751	0.0041736374
L	1.1796449e-05	0.0015596722	0.039970506	0.9474038	0.011054122
u	0.020410972	0.029437805	0.067097835	0.87863594	0.004417494
p	0.00079100794	0.0077183694	0.6314033	0.29923517	0.060852073
p	0.013344965	0.030403428	0.28149194	0.65866345	0.0160962
ì	0.030064447	0.018615576	0.8587978	0.03169335	0.060828798
u	0.00024485728	5.66105e-06	8.023926e-05	0.9981178	0.0015514216
n	2.3013438e-06	9.116099e-06	0.001389554	0.9861146	0.012484359
a	0.05319106	0.015987365	0.073645815	0.81760514	0.039570615
</S>	0.00013512388	0.000366927	0.03475697	0.32861817	0.6361228
