 	hai	già	mangiato	</S>
è	0.9970741	0.00017852284	0.00012665577	0.0026205997
c	0.8347321	0.16165112	0.00045658022	0.0031601954
h	0.20745255	0.68192613	0.10988507	0.0007362516
i	0.9799027	0.016357921	0.00011737589	0.0036219803
g	0.10737836	0.84389335	0.010516027	0.038212255
i	0.3525642	0.59128433	0.024786167	0.031365253
à	0.00839709	0.8367577	0.04194292	0.11290229
f	0.009980237	0.4770421	0.34809235	0.16488524
a	0.07275324	0.5205229	0.40177497	0.0049489764
m	0.002094019	0.044356234	0.74715126	0.20639849
è	0.0030422362	0.095146716	0.41055274	0.49125832
n	0.0025041576	0.0015091564	0.54218507	0.45380163
a	0.009525252	0.065911934	0.9206544	0.0039083837
</S>	0.00025303254	0.000666441	0.21745406	0.78162646
