 	vuole	pianto	</S>
i	0.9946344	0.000513676	0.0048519652
t	0.90437275	0.060097396	0.035529893
è	0.1911892	0.67315567	0.1356552
l	0.8773178	0.0813211	0.04136111
i	0.99921095	0.0007853168	3.7424927e-06
k	0.046841785	0.9097979	0.04336032
l	0.9749299	0.021671204	0.0033988357
a	0.03479027	0.5454303	0.41977945
m	0.00016620269	0.17420019	0.8256336
m	0.039990023	0.7828883	0.17712168
è	6.4938777e-06	0.015739394	0.9842541
n	0.0001805737	0.012713359	0.9871061
o	0.8850123	0.06260962	0.05237799
</S>	0.00016255578	0.040506665	0.9593308
