 	non	ho	cosa	a	fare	</S>
e	0.6815371	0.006227971	0.0014852232	0.00062234496	0.0036458904	0.30648145
n	0.8191848	0.1519204	0.024574207	0.002504558	0.00013520841	0.0016807168
è	0.022062493	0.07847611	0.21275073	0.11162875	0.0059429603	0.569139
c	0.003341105	0.5389173	0.43390074	0.019975739	0.0010484417	0.0028166014
h	0.0048564756	0.099928126	0.61551595	0.24577132	0.033560324	0.00036780414
o	0.13758074	0.78173685	0.05742478	0.015024917	0.0014767462	0.006755968
t	0.005141755	0.02346625	0.78230625	0.16906475	0.006464489	0.013556543
i	0.0010450761	0.08021755	0.5281828	0.37069783	0.009207587	0.010649214
k	0.00043863076	0.00068795314	0.5446005	0.39051005	0.045790885	0.017971978
à	1.1224326e-05	0.0015924909	0.19968398	0.50465345	0.28374523	0.01031362
m	0.0021615655	1.3814538e-05	0.0054952614	0.052265108	0.78627986	0.15378448
i	5.3494638e-05	0.00029622373	0.052963313	0.10585285	0.8304042	0.0104298955
</S>	0.0009967102	3.5804242e-06	0.0011874622	0.08014956	0.68426275	0.23339994
