 	se	aveva	vestito	la	figlia	l	avessi	portato	alla	chiesa	</S>
a	0.7549762	0.0024000257	0.002099132	0.0002010827	0.052322336	0.028894024	0.023764573	0.012891754	0.07281046	0.004707704	0.044932693
n	0.7219866	0.21308444	0.0461707	0.0038848093	0.007100598	0.0030797722	1.8346025e-05	0.0011466792	0.0003587751	6.6037314e-06	0.0031626923
ì	0.0039540664	0.03472416	0.28483972	0.17198086	0.023173688	0.11731734	0.00013390774	0.059279982	0.015133379	0.0021966093	0.28726628
c	0.00041512703	0.9009178	0.07357268	0.024514515	0.00019206622	0.00014995453	0.00012409956	1.0642078e-05	7.960171e-06	4.848795e-07	9.4700146e-05
h	0.005331728	0.3208172	0.39088494	0.014293582	0.11592223	0.122396655	0.007896552	0.019027686	0.003300648	8.075414e-05	4.8048038e-05
e	0.08224542	0.8595308	0.04506028	0.012503307	0.00036585052	0.00022967624	7.784405e-06	1.1499856e-05	2.613773e-06	5.1101644e-08	4.265801e-05
n	0.0011983082	0.18922225	0.67995864	0.0899793	0.03183031	0.005645684	0.0015540461	0.000118100106	0.00013460149	5.0816845e-07	0.00035828154
d	0.0004685422	0.36157206	0.16098085	0.46313608	0.00048981333	0.003314458	0.00924379	0.0003019924	0.0001759628	5.494906e-05	0.0002614365
ì	0.024388729	0.16518429	0.24782494	0.56104094	0.00046208338	0.0004118239	0.00028741444	0.00014746652	1.7641514e-05	1.7522555e-06	0.00023296538
s	2.3668013e-05	0.00010462813	0.24806789	0.0146454265	0.24488875	0.37336963	0.067635566	0.041129667	0.0076908735	3.3887572e-05	0.0024100589
o	0.002333618	0.032748766	0.59443396	0.14496344	0.0814794	0.12908141	0.009199181	0.0046221595	0.0008375977	0.00026177324	3.8642724e-05
n	6.085996e-05	0.0002831597	0.17902386	0.19140941	0.44430664	0.16228013	0.017988544	0.0023334348	0.00195846	1.9149998e-05	0.00033632747
t	0.00015195887	0.021357264	0.06120371	0.54130447	0.0043193814	0.029480008	0.33307448	0.00069951155	0.0010057043	0.0070267282	0.00037687592
a	0.1379479	0.011204096	0.090559125	0.71106535	0.030204255	0.007383946	0.0019426943	0.0033436872	0.0015803342	3.1125197e-05	0.0047375113
i	4.7310564e-06	8.708581e-05	0.04636236	0.16565885	0.24954303	0.4295085	0.03696678	0.04324289	0.022102125	8.2503495e-05	0.006441196
k	2.4094843e-06	0.00010375752	0.008762719	0.005230064	0.4935686	0.18450767	0.04612799	0.09705723	0.06214567	0.005974767	0.09651916
i	2.124457e-05	0.001221482	0.0026815615	0.018647414	0.032578178	0.58612967	0.025490316	0.16010281	0.050464734	0.066488534	0.056174
a	3.0402785e-05	0.00016204732	0.003264536	0.06356316	0.29486495	0.6085091	0.011935233	0.010385558	0.0055798306	0.00041864673	0.0012865238
t	1.2067879e-07	9.056289e-05	0.0017345758	0.003389007	0.20504881	0.15707633	0.4444323	0.033984926	0.088189326	0.051751077	0.014303014
è	4.04153e-05	0.0109165395	0.0006700162	0.009593524	0.008267426	0.14159288	0.38884813	0.03200544	0.04955873	0.30846095	0.05004594
r	1.9450663e-07	1.5280569e-06	0.00068767293	0.008944103	0.10585013	0.7403401	0.101053305	0.015968908	0.016213207	0.009835558	0.00110527
a	0.0040071676	0.0023750332	0.021596111	0.015707018	0.43776926	0.35881278	0.09537152	0.039082505	0.007746986	0.012686271	0.004845352
i	1.9686229e-06	2.3136506e-08	5.4017488e-05	3.313935e-05	0.123465896	0.80308104	0.022646664	0.016580686	0.025375666	0.0076912325	0.0010696851
n	5.952089e-08	6.5840624e-07	0.00019087609	0.000104207844	0.11651451	0.34553328	0.22392984	0.054907057	0.14983512	0.10369392	0.005290479
ì	8.7116805e-06	0.003161525	0.00089452957	0.0014606458	0.0007652218	0.017209321	0.32672754	0.0021868418	0.10275619	0.52292824	0.021901222
c	1.8979111e-07	4.40115e-07	0.00013667448	0.00038364186	0.022945065	0.8122865	0.08553498	0.017362876	0.02744146	0.03182634	0.0020817053
h	3.9086984e-07	2.3824772e-05	0.000102193815	0.001095824	0.14938824	0.22194313	0.3793792	0.18781377	0.014069397	0.032763604	0.013420303
a	1.8563572e-06	3.5955913e-05	0.00089294947	0.0014948172	0.06579294	0.085517354	0.2723227	0.054495677	0.38604546	0.04272123	0.09067904
p	3.4338123e-07	2.5208635e-07	8.919586e-05	8.034517e-05	0.05138031	0.38038653	0.083442315	0.019233085	0.24348794	0.1504897	0.07141004
à	3.1369934e-06	0.0017220796	0.001219904	0.001099726	0.0007752052	0.019303659	0.6329814	0.0038813287	0.033719134	0.3032203	0.002074071
r	1.2937435e-05	2.5931513e-08	3.5319565e-06	1.3289538e-06	0.005251906	0.27527136	0.039848514	0.27823895	0.11813823	0.24652772	0.03670548
o	0.00023255586	0.00049569306	0.008969317	0.00090626674	0.060822036	0.07538045	0.042086832	0.011971887	0.06366458	0.7176761	0.01779432
n	1.0368093e-05	6.2148723e-07	0.00024966808	6.660156e-05	0.02504824	0.16922636	0.034364436	0.005399892	0.37074658	0.25466192	0.14022528
t	1.2834777e-06	0.00033541155	0.0063130064	0.0011409159	0.005976772	0.051915362	0.014808329	0.0016041661	0.011512973	0.90492153	0.001470283
a	0.0016300342	0.0020899796	0.0023521814	0.0029948696	0.0030788314	0.01289739	0.048111897	0.004337383	0.5797858	0.11216478	0.23055685
s	1.7984567e-06	1.3970941e-07	4.4516137e-06	2.5863196e-06	0.00062126067	0.009922054	0.007925291	0.024380287	0.33676794	0.037618786	0.5827554
t	5.3059503e-06	0.010646011	0.0069944537	0.0016004624	0.0007020989	0.005893893	0.14990614	0.0030563294	0.18100078	0.59987736	0.040317185
i	0.00030737193	0.118494764	0.084766775	0.06952962	0.006926046	0.051352542	0.06094689	0.011712148	0.36128297	0.0052863574	0.2293945
n	5.3443882e-06	1.7246236e-07	1.6129214e-06	1.596711e-06	0.00015714242	0.0019896722	0.0026844188	0.025838958	0.1794479	0.022873836	0.7669993
a	6.3301337e-07	0.002015309	0.0028903452	0.0007143126	0.0009339442	0.0028391941	0.0614038	0.006133194	0.3994891	0.19816145	0.32541865
g	8.235483e-07	6.720157e-07	5.0888095e-05	2.097417e-05	0.0028218548	0.018637985	0.010828685	0.003949586	0.29264823	0.16075289	0.51028746
l	4.162506e-07	0.00065157434	0.0011363284	0.00011765195	0.00068245636	0.004122558	0.012799665	0.003720298	0.077520445	0.86699426	0.0322543
i	0.00075220887	0.17102523	0.14268073	0.15868658	0.013994611	0.07747563	0.06880597	0.007475677	0.109409675	0.0105725005	0.23912117
s	6.979204e-06	1.8202374e-07	1.1486035e-06	1.1956749e-06	7.401083e-05	0.00053094147	0.0007091904	0.0139273405	0.063259564	0.028625647	0.8928638
ì	8.9257423e-07	0.000917859	0.003422873	0.00041511015	0.0011548165	0.0042033135	0.0053417	0.004228561	0.07361692	0.29423308	0.61246485
a	7.159926e-05	3.0263287e-08	8.2843314e-07	2.9265973e-07	0.00049446453	0.004382491	0.0030523667	0.030685948	0.07198427	0.75609833	0.13322932
</S>	1.673337e-07	3.081741e-07	1.7636885e-05	1.9506042e-05	0.0034611793	0.0060403342	0.0055762744	0.007295382	0.04996081	0.54956216	0.3780662
