 	dei	genitori	</S>
à	0.9488577	0.0018591465	0.049283206
t	0.9886938	0.0052001467	0.00610604
t	0.9317401	0.06554777	0.0027121336
u	0.9581639	0.00012391251	0.041712232
s	0.98775744	0.0069423453	0.005300296
g	0.18001635	0.05909311	0.76089054
e	0.8127364	0.0019475746	0.18531601
n	0.13007611	0.052483007	0.8174409
i	0.0006191914	0.43377903	0.5656018
t	0.18104687	0.38183078	0.4371224
ò	3.3251927e-05	0.9487493	0.05121749
r	0.016000347	0.93014485	0.053854823
u	0.86178035	0.1338135	0.004406186
</S>	0.031264104	0.29939413	0.66934174
