 	ha	potuto	entrare	dalla	finestra	</S>
ì	0.97937566	0.0027197287	0.0020549414	0.00069093605	0.00076905504	0.014389705
s	0.27317262	0.680929	0.0440933	0.0013748145	2.0096744e-05	0.00041012865
o	0.84498227	0.09642413	0.056600537	0.001975225	1.1473759e-05	6.3628618e-06
s	0.0021607077	0.7152993	0.281681	0.0007380464	7.82524e-07	0.000120140154
e	0.40053642	0.4319112	0.16279873	0.0046143737	0.00010791298	3.1452484e-05
è	0.002337282	0.22472152	0.7649087	0.007492192	1.7498689e-05	0.0005228119
m	0.00085327635	0.05117526	0.65861017	0.17249422	0.11515483	0.0017121865
b	0.029864606	0.22798815	0.4728393	0.26731715	0.001724535	0.00026632985
i	0.9289081	0.009190728	0.026378961	0.01424215	0.0028336514	0.01844632
à	0.0006649177	3.103511e-05	0.02755705	0.84003633	0.028585812	0.1031248
t	2.2686181e-06	3.6264205e-06	0.0022287476	0.29123563	0.7047558	0.0017739444
t	0.021970581	0.031779356	0.10613537	0.603339	0.23597625	0.00079946086
i	0.78924936	0.004010622	0.0050360896	0.0021926572	0.010220963	0.18929027
f	0.00024069949	4.6788095e-06	0.0027850927	0.25421873	0.22126722	0.5214836
i	0.024114804	0.017649079	0.04735657	0.12929927	0.6865651	0.09501519
n	6.0608392e-05	4.9308005e-06	0.00293041	0.05742542	0.1829671	0.7566115
è	0.0038060648	0.018659877	0.09074441	0.12463244	0.7220714	0.04008585
s	3.0472687e-05	4.6560068e-08	5.8767982e-06	0.006262616	0.9574299	0.036271155
t	0.00083209376	0.0061248876	0.026720747	0.04083971	0.6790766	0.24640599
r	0.2027878	0.0032100647	0.0065086414	0.0040596537	0.22022177	0.56321204
a	0.0045702155	0.0013148802	0.0020759448	0.0022018515	0.015177996	0.9746591
</S>	1.4868233e-05	1.2398243e-07	3.2941913e-05	0.002272148	0.14874342	0.8489365
