 	che	consuma	poco	benzina	</S>
n	0.9681415	0.010042516	0.001163875	0.0008112571	0.019840822
a	0.1065832	0.59375805	0.10615973	0.0060380925	0.18746099
k	0.010674259	0.9602895	0.014026454	0.0011003601	0.01390945
o	0.03953764	0.26527017	0.48381266	0.09558088	0.11579862
n	0.006314341	0.97541773	0.018031027	5.0419694e-05	0.00018645835
s	0.011477918	0.053202122	0.16664849	0.5682044	0.20046705
u	0.58125603	0.28876418	0.018437553	0.0028017634	0.10874039
m	0.0008669408	0.8114715	0.14233285	0.0008059063	0.04452274
è	0.0010643817	0.22515129	0.70617867	0.0077750687	0.05983055
t	0.002127663	0.5679642	0.34701112	0.022391131	0.060505874
s	0.017804643	0.024258608	0.7207218	0.23189466	0.0053202272
i	0.04803062	0.15982316	0.007329117	0.0012195552	0.7835975
a	8.4668754e-05	0.037728265	0.59400934	0.0047266143	0.36345112
l	8.183397e-06	0.015461719	0.8010241	0.089791134	0.0937148
ì	0.00072866405	0.0002358613	0.07954644	0.7746369	0.14485212
o	0.00022369964	0.0007503308	0.6434813	0.29045537	0.06508926
b	3.3371293e-06	4.7680445e-05	0.020031888	0.9613858	0.018531345
e	0.00044479084	6.43277e-05	0.0072551346	0.9828084	0.009427324
n	8.402972e-06	0.00030007746	0.07403828	0.37814412	0.54750913
z	0.0012351085	0.00012503285	0.009161979	0.98131657	0.008161394
ì	0.059177853	0.0018236024	0.046429276	0.39043194	0.5021373
n	0.027704073	0.0004325848	0.0019878112	0.8566124	0.11326317
a	0.0044538574	0.0028795383	0.0140382545	0.81365436	0.16497405
</S>	1.3123627e-05	1.8692517e-05	0.0020513677	0.13264824	0.86526865
