 	li	vestono	i	genitori	</S>
t	0.9114058	0.00055339077	0.0037057656	0.00016079712	0.08417431
u	0.9894188	0.0021754696	0.004992667	0.00027834595	0.003134864
s	0.63841295	0.26705402	0.07139083	0.0008320707	0.022310082
i	0.07016668	0.12620753	0.19424367	0.4204272	0.18895496
n	0.514266	0.41478977	0.06939508	0.0010108282	0.0005383795
d	0.00024680578	0.6496752	0.014471819	0.16169088	0.17391533
ì	0.01208128	0.9850971	0.0015193962	0.00020648667	0.0010959158
n	0.0003677521	0.0072832834	0.97853947	0.007932128	0.005877304
n	0.02369084	0.80390996	0.08593393	0.079802856	0.006662454
o	0.9348751	0.0426656	0.020955382	0.0008448369	0.00065904076
n	1.9146639e-05	0.0012565563	0.98108566	0.0078113778	0.009827243
e	0.00046475462	0.14682326	0.14397898	0.54566044	0.16307263
i	0.0003955454	0.002555786	0.91223484	0.073570475	0.011243325
g	2.950449e-07	7.967581e-05	0.87787205	0.08944658	0.032601494
e	7.839344e-05	0.0008579176	0.25591722	0.64281267	0.10033374
n	0.00020416491	0.00032669934	0.59381646	0.32519	0.08046268
i	1.98542e-05	0.00068309705	0.0029729742	0.99084693	0.0054771216
t	0.00024907748	0.00042434488	0.27854994	0.49273086	0.22804576
ò	3.0976353e-05	0.0008245222	0.0019853285	0.9916046	0.005554568
r	0.0002503321	4.7685126e-07	0.26506007	0.64752096	0.08716812
i	0.025753152	0.003263991	0.11679822	0.8154552	0.038729474
</S>	0.0001583373	6.0519897e-06	0.04506565	0.45472303	0.5000469
