 	il	dito	si	gonfiò	</S>
o	0.9933513	0.0015432966	0.00017074983	0.00026077538	0.004673961
d	0.41376778	0.47113162	0.033292335	0.023872903	0.057935286
à	0.023364915	0.8840414	0.059610516	0.030936213	0.0020468868
t	0.0014239221	0.99651307	0.0012301285	0.000113145215	0.0007197838
t	0.9903105	0.004748295	0.0049053477	3.5626395e-05	2.8716545e-07
i	0.56233686	0.14154845	0.02106609	0.002986104	0.2720625
l	0.0035117662	0.8999592	0.042965002	0.002466622	0.0510973
o	0.07687202	0.34500876	0.5142983	0.040686965	0.023133958
è	0.00957391	0.27929476	0.5356869	0.039462823	0.13598152
p	9.943342e-05	0.7886089	0.111024514	0.07522932	0.02503784
r	0.28090802	0.08561128	0.6147895	0.013545292	0.005145851
i	0.31641096	0.124236666	0.36737347	0.13655676	0.055422086
m	0.000854804	0.024786111	0.056315795	0.14713722	0.77090603
m	0.0057168533	0.0042356146	0.53858227	0.20342277	0.24804255
è	1.4574367e-05	0.0016930967	0.0031051594	0.01903707	0.97615004
n	0.00011548743	0.003401995	0.0033732194	0.035575196	0.95753413
o	0.62743115	0.0920598	0.15736611	0.08105526	0.042087648
</S>	3.753375e-05	0.00038012385	0.015659371	0.19904591	0.7848771
